"","query_id","subject_id","subject_id.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best","pident.Brapa3.0_pep_vs_brapa_fpsccyc_fasta_best","length.Brapa3.0_pep_vs_brapa_fpsccyc_fasta_best","evalue.Brapa3.0_pep_vs_brapa_fpsccyc_fasta_best","nextevalue.Brapa3.0_pep_vs_brapa_fpsccyc_fasta_best","E_diff.Brapa3.0_pep_vs_brapa_fpsccyc_fasta_best","bitscore.Brapa3.0_pep_vs_brapa_fpsccyc_fasta_best","pident.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best","length.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best","evalue.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best","nextevalue.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best","E_diff.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best","bitscore.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best"
"19","BRARA.A00114-MONOMER","BraA01g001180.3C","BRARA.A00114-MONOMER",99.795,487,0,0,NA,996,99.795,487,0,0,NA,996
"20","BRARA.A00119-MONOMER","BraA01g001220.3C","BRARA.A00119-MONOMER",99.574,470,0,0,NA,974,99.574,470,0,0,NA,974
"21","BRARA.A00120-MONOMER","BraA01g001230.3C","BRARA.A00120-MONOMER",99.807,518,0,0,NA,1047,99.807,518,0,0,NA,1047
"22","BRARA.A00125-MONOMER","BraA01g001280.3C","BRARA.A00125-MONOMER",100,615,0,0,NA,1266,100,615,0,0,NA,1266
"23","BRARA.A00129-MONOMER","BraA01g001320.3C","BRARA.A00129-MONOMER",99.78,455,0,0,NA,937,99.78,455,0,0,NA,937
"24","BRARA.A00130-MONOMER","BraA01g001330.3C","BRARA.A00130-MONOMER",99.338,453,0,0,NA,930,99.338,453,0,0,NA,930
"25","BRARA.A00133-MONOMER","BraA01g001360.3C","BRARA.A00133-MONOMER",100,327,0,0,NA,671,100,327,0,0,NA,671
"26","BRARA.A00144-MONOMER","BraA01g001490.3C","BRARA.A00144-MONOMER",99.602,502,0,0,NA,1032,99.602,502,0,0,NA,1032
"27","BRARA.A00146-MONOMER","BraA01g001510.3C","BRARA.A00146-MONOMER",100,588,0,0,NA,1220,100,588,0,0,NA,1220
"28","BRARA.A00147-MONOMER","BraA01g001520.3C","BRARA.A00147-MONOMER",99.802,504,0,0,NA,1037,99.802,504,0,0,NA,1037
"29","BRARA.A00148-MONOMER","BraA01g001530.3C","BRARA.A00148-MONOMER",99.387,489,0,0,NA,995,99.387,489,0,0,NA,995
"30","BRARA.A00149-MONOMER","BraA01g001540.3C","BRARA.A00149-MONOMER",97.665,514,0,8.07e-179,-Inf,1025,97.665,514,0,0,NA,1025
"31","BRARA.A00158-MONOMER","BraA01g001630.3C","BRARA.A00158-MONOMER",98.995,398,0,8.69e-164,-Inf,805,98.995,398,0,0,NA,805
"32","BRARA.A00166-MONOMER","BraA01g001750.3C","BRARA.A00166-MONOMER",99.375,320,0,1.3,-Inf,655,99.375,320,0,0.000209,-Inf,655
"33","BRARA.A00169-MONOMER","BraA01g001770.3C","BRARA.A00169-MONOMER",90.799,413,0,0,NA,751,90.799,413,0,0,NA,751
"34","BRARA.A00170-MONOMER","BraA01g001780.3C","BRARA.A00170-MONOMER",99.738,381,0,0,NA,783,99.738,381,0,0,NA,783
"35","BRARA.A00171-MONOMER","BraA01g001790.3C","BRARA.A00171-MONOMER",100,409,0,0,NA,838,100,409,0,0,NA,838
"36","BRARA.A00175-MONOMER","BraA01g001820.3C","BRARA.A00175-MONOMER",98.821,848,0,0,NA,1716,98.821,848,0,0,NA,1716
"37","BRARA.A00190-MONOMER","BraA01g002000.3C","BRARA.A00190-MONOMER",99.176,364,0,0,NA,734,99.176,364,0,0,NA,734
"38","BRARA.A00192-MONOMER","BraA01g002020.3C","BRARA.A00192-MONOMER",97.331,487,0,0,NA,953,97.331,487,0,1.8e-124,-Inf,953
"39","BRARA.A00194-MONOMER","BraA01g002040.3C","BRARA.A00194-MONOMER",95.198,354,0,1.3e-99,-Inf,697,95.198,354,0,9.6e-122,-Inf,697
"40","BRARA.A00211-MONOMER","BraA01g002390.3C","BRARA.A00211-MONOMER",99.793,482,0,0,NA,988,99.793,482,0,0,NA,988
"41","BRARA.A00214-MONOMER","BraA01g002360.3C","BRARA.A00214-MONOMER",98.133,857,0,0,NA,1755,98.133,857,0,0,NA,1755
"42","BRARA.A00215-MONOMER","BraA01g002350.3C","BRARA.A00215-MONOMER",97.835,462,0,0,NA,924,97.835,462,0,0,NA,924
"43","BRARA.A00217-MONOMER","BraA01g002330.3C","BRARA.A00217-MONOMER",100,162,5.7e-123,7.47e-107,-16.1174457461429,342,100,162,1.4e-123,6.27e-111,-12.6511395051525,342
"44","BRARA.A00218-MONOMER","BraA01g002300.3C","BRARA.A00218-MONOMER",98.382,309,0,0,NA,630,98.382,309,0,0,NA,630
"45","BRARA.A00222-MONOMER","BraA01g002280.3C","BRARA.A00222-MONOMER",98.922,371,0,0,NA,757,98.922,371,0,0,NA,757
"46","BRARA.A00226-MONOMER","BraA01g002240.3C","BRARA.A00226-MONOMER",96.267,375,0,3.13e-44,-Inf,733,96.267,375,0,2.65e-48,-Inf,733
"47","BRARA.A00227-MONOMER","BraA01g002230.3C","BRARA.A00227-MONOMER",98.047,717,0,0,NA,1428,98.047,717,0,0,NA,1428
"48","BRARA.A00230-MONOMER","BraA01g002200.3C","BRARA.A00230-MONOMER",93.127,291,0,6.99e-163,-Inf,542,93.127,291,0,8.55e-179,-Inf,542
"49","BRARA.A00231-MONOMER","BraA01g002190.3C","BRARA.A00231-MONOMER",97.342,301,0,4.87e-168,-Inf,605,97.342,301,0,8.48e-170,-Inf,605
"50","BRARA.A00242-MONOMER","BraA01g002530.3C","BRARA.A00242-MONOMER",94.515,474,0,0,NA,921,94.515,474,0,0,NA,921
"51","BRARA.A00248-MONOMER","BraA01g002590.3C","BRARA.A00248-MONOMER",98.976,293,0,9.92e-10,-Inf,597,98.976,293,0,2.8e-10,-Inf,597
"52","BRARA.A00250-MONOMER","BraA01g002610.3C","BRARA.A00250-MONOMER",98.561,278,0,5.48e-124,-Inf,562,98.561,278,0,1.11e-120,-Inf,562
"53","BRARA.A00260-MONOMER","BraA01g002700.3C","BRARA.A00260-MONOMER",100,238,3.11e-175,6.12e-160,-15.2939910331187,481,100,238,7.67e-176,1.51e-160,-15.2941815833442,481
"54","BRARA.A00261-MONOMER","BraA01g002710.3C","BRARA.A00261-MONOMER",99.666,899,0,0,NA,1851,99.666,899,0,0,NA,1851
"55","BRARA.A00262-MONOMER","BraA01g002730.3C","BRARA.A00262-MONOMER",73.869,199,2.58e-98,6.32e-90,-8.38909737231916,290,73.869,199,6.44e-99,3.65e-80,-18.7534069970967,290
"56","BRARA.A00263-MONOMER","BraA01g002740.3C","BRARA.A00263-MONOMER",97.806,319,0,6.61e-160,-Inf,645,97.806,319,0,3.85e-160,-Inf,645
"57","BRARA.A00287-MONOMER","BraA01g002950.3C","BRARA.A00287-MONOMER",98.969,194,3.25e-138,2.26e-113,-24.8422250781685,384,98.969,194,8.01e-139,3.9e-118,-20.6874320909423,384
"58","BRARA.A00291-MONOMER","BraA01g002980.3C","BRARA.A00291-MONOMER",95.441,329,0,0,NA,640,95.441,329,0,0,NA,640
"59","BRARA.A00306-MONOMER","BraA01g003140.3C","BRARA.A00306-MONOMER",100,368,0,0,NA,755,100,368,0,0,NA,755
"60","BRARA.A00307-MONOMER","BraA01g003150.3C","BRARA.A00307-MONOMER",100,370,0,2.93e-123,-Inf,770,100,370,0,0,NA,770
"61","BRARA.A00310-MONOMER","BraA01g003210.3C","BRARA.A00310-MONOMER",99.273,275,0,1.02e-132,-Inf,553,99.273,275,0,1.42e-133,-Inf,553
"62","BRARA.A00311-MONOMER","BraA01g003220.3C","BRARA.A00311-MONOMER",100,235,1.05e-177,3.4e-138,-39.5102896179723,487,100,235,2.58e-178,3.25e-148,-30.1002636550157,487
"63","BRARA.A00314-MONOMER","BraA01g003240.3C","BRARA.A00314-MONOMER",96.517,804,0,1.9e-170,-Inf,1609,96.517,804,0,2.56e-164,-Inf,1609
"64","BRARA.A00321-MONOMER","BraA01g003300.3C","BRARA.A00321-MONOMER",91.739,230,7.4e-153,1.89e-112,-40.4072300844423,423,91.739,230,1.76e-153,4.54e-111,-42.4115431850429,423
"65","BRARA.A00326-MONOMER","BraA08g007220.3C","BRARA.A00326-MONOMER",66.964,112,1.72e-36,3.93e-34,-2.35886410346787,127,66.964,112,8.74e-37,5.87e-11,-25.8271266686132,127
"66","BRARA.A00328-MONOMER","BraA01g003360.3C","BRARA.A00328-MONOMER",100,199,3.56e-148,1.65e-128,-19.666033946241,409,100,199,8.78e-149,3.54e-133,-15.6055087461197,409
"67","BRARA.A00336-MONOMER","BraA01g003440.3C","BRARA.A00336-MONOMER",98.528,1359,0,0,NA,2766,98.528,1359,0,0,NA,2766
"68","BRARA.A00339-MONOMER","BraA01g003470.3C","BRARA.A00339-MONOMER",99.824,569,0,0,NA,1184,99.824,569,0,0,NA,1184
"69","BRARA.A00349-MONOMER","BraA01g003570.3C","BRARA.A00349-MONOMER",99.281,556,0,0,NA,1123,99.281,556,0,0,NA,1123
"70","BRARA.A00352-MONOMER","BraA01g003600.3C","BRARA.A00352-MONOMER",98.808,671,0,0,NA,1358,98.808,671,0,0,NA,1358
"71","BRARA.A00353-MONOMER","BraA01g003610.3C","BRARA.A00353-MONOMER",98.462,650,0,0,NA,1306,98.462,650,0,0,NA,1306
"72","BRARA.A00358-MONOMER","BraA01g003660.3C","BRARA.A00358-MONOMER",98.347,363,0,0,NA,746,98.347,363,0,0,NA,746
"73","BRARA.A00359-MONOMER","BraA01g003670.3C","BRARA.A00359-MONOMER",100,410,0,0,NA,856,100,410,0,0,NA,856
"74","BRARA.A00368-MONOMER","BraA01g003740.3C","BRARA.A00368-MONOMER",95.208,313,0,1.77e-97,-Inf,614,95.208,313,0,7.74e-91,-Inf,614
"75","BRARA.A00372-MONOMER","BraA01g003770.3C","BRARA.A00372-MONOMER",98.374,492,0,0,NA,990,98.374,492,0,0,NA,990
"76","BRARA.A00381-MONOMER","BraA01g003870.3C","BRARA.A00381-MONOMER",97.239,833,0,0,NA,1659,97.239,833,0,0,NA,1659
"77","BRARA.A00385-MONOMER","BraA01g003910.3C","BRARA.A00385-MONOMER",99.784,463,0,0,NA,957,99.784,463,0,0,NA,957
"78","BRARA.A00394-MONOMER","BraA01g003990.3C","BRARA.A00394-MONOMER",99.761,837,0,1.4,-Inf,1730,99.761,837,0,3,-Inf,1730
"79","BRARA.A00395-MONOMER","BraA01g004000.3C","BRARA.A00395-MONOMER",98.913,460,0,0,NA,946,98.913,460,0,0,NA,946
"80","BRARA.A00396-MONOMER","BraA01g004020.3C","BRARA.A00396-MONOMER",95.181,581,0,0,NA,1117,95.181,581,0,0,NA,1117
"81","BRARA.A00397-MONOMER","BraA01g004030.3C","BRARA.A00397-MONOMER",98.324,358,0,0,NA,719,98.324,358,0,0,NA,719
"82","BRARA.A00400-MONOMER","BraA01g004060.3C","BRARA.A00400-MONOMER",99.621,264,0,1.98e-86,-Inf,544,99.621,264,0,1,-Inf,544
"83","BRARA.A00401-MONOMER","BraA01g004070.3C","BRARA.A00401-MONOMER",100,597,0,0,NA,1194,100,597,0,0,NA,1194
"84","BRARA.A00407-MONOMER","BraA01g004150.3C","BRARA.A00407-MONOMER",99.395,496,0,0,NA,1019,99.395,496,0,0,NA,1019
"85","BRARA.A00408-MONOMER","BraA01g004160.3C","BRARA.A00408-MONOMER",97.936,436,0,0,NA,884,97.936,436,0,0,NA,884
"86","BRARA.A00409-MONOMER","BraA01g004180.3C","BRARA.A00409-MONOMER",97.5,480,0,0,NA,970,97.5,480,0,0,NA,970
"87","BRARA.A00414-MONOMER","BraA01g004220.3C","BRARA.A00414-MONOMER",100,461,0,2.19e-110,-Inf,926,100,461,0,1.31e-146,-Inf,926
"88","BRARA.A00421-MONOMER","BraA01g004290.3C","BRARA.A00421-MONOMER",98.312,237,2.26e-177,6.57e-127,-50.4634569304124,486,98.312,237,5.56e-178,4.84e-127,-50.9397705700624,486
"89","BRARA.A00425-MONOMER","BraA01g004320.3C","BRARA.A00425-MONOMER",98.756,402,0,1.14e-176,-Inf,825,98.756,402,0,4.47e-164,-Inf,825
"90","BRARA.A00427-MONOMER","BraA01g004350.3C","BRARA.A00427-MONOMER",99.127,458,0,0,NA,942,99.127,458,0,0,NA,942
"91","BRARA.A00429-MONOMER","BraA01g004360.3C","BRARA.A00429-MONOMER",98.88,357,0,0,NA,719,98.88,357,0,0,NA,719
"92","BRARA.A00436-MONOMER","BraA01g004450.3C","BRARA.A00436-MONOMER",98.257,459,0,0,NA,938,98.257,459,0,0,NA,938
"93","BRARA.A00439-MONOMER","BraA01g004470.3C","BRARA.A00439-MONOMER",99.257,808,0,0,NA,1642,99.257,808,0,0,NA,1642
"94","BRARA.A00445-MONOMER","BraA01g004520.3C","BRARA.A00445-MONOMER",96.805,313,0,6.16e-05,-Inf,637,96.805,313,0,0,NA,637
"95","BRARA.A00447-MONOMER","BraA01g004540.3C","BRARA.A00447-MONOMER",98.725,941,0,0,NA,1885,98.725,941,0,0,NA,1885
"96","BRARA.A00448-MONOMER","BraA01g004550.3C","BRARA.A00448-MONOMER",98.625,509,0,0,NA,1038,98.625,509,0,0,NA,1038
"97","BRARA.A00455-MONOMER","BraA01g004610.3C","BRARA.A00455-MONOMER",94.553,257,2.57e-169,1.71e-21,-147.823062987061,478,96.498,257,0,1.35e-20,-Inf,511
"98","BRARA.A00457-MONOMER","BraA01g004620.3C","BRARA.A00457-MONOMER",99.368,475,0,0,NA,967,99.368,475,0,0,NA,967
"99","BRARA.A00469-MONOMER","BraA01g004730.3C","BRARA.A00469-MONOMER",98.786,1730,0,0,NA,3540,98.786,1730,0,0,NA,3540
"100","BRARA.A00473-MONOMER","BraA01g004770.3C","BRARA.A00473-MONOMER",100,309,0,0,NA,641,100,309,0,0,NA,641
"101","BRARA.A00474-MONOMER","BraA01g004780.3C","BRARA.A00474-MONOMER",96.358,906,0,0,NA,1828,96.358,906,0,0,NA,1828
"102","BRARA.A00476-MONOMER","BraA01g004800.3C","BRARA.A00476-MONOMER",97.644,1061,0,0,NA,2140,97.644,1061,0,0,NA,2140
"103","BRARA.A00481-MONOMER","BraA01g004890.3C","BRARA.A00481-MONOMER",99.719,356,0,0,NA,739,99.719,356,0,0,NA,739
"104","BRARA.A00487-MONOMER","BraA01g004950.3C","BRARA.A00487-MONOMER",99.31,145,8.22e-101,4.63e-91,-9.7507091734779,285,99.31,145,2.03e-101,6.45e-91,-10.5020636767221,285
"105","BRARA.A00488-MONOMER","BraA01g004960.3C","BRARA.A00488-MONOMER",97.912,479,0,0,NA,975,97.912,479,0,0,NA,975
"106","BRARA.A00490-MONOMER","BraA01g004980.3C","BRARA.A00490-MONOMER",99.713,1047,0,0.8,-Inf,2171,99.713,1047,0,1,-Inf,2171
"107","BRARA.A00504-MONOMER","BraA01g005170.3C","BRARA.A00504-MONOMER",100,164,5.48e-121,3.98e-97,-23.8611025135893,338,100,164,1.35e-121,1.61e-98,-23.0764921075368,338
"108","BRARA.A00507-MONOMER","BraA01g005200.3C","BRARA.A00507-MONOMER",100,464,0,0,NA,963,100,464,0,0,NA,963
"109","BRARA.A00510-MONOMER","BraA01g005230.3C","BRARA.A00510-MONOMER",98.947,570,0,6.66e-28,-Inf,1169,98.947,570,0,2.06e-28,-Inf,1169
"110","BRARA.A00514-MONOMER","BraA01g005300.3C","BRARA.A00514-MONOMER",99.73,370,0,1.43e-62,-Inf,764,99.73,370,0,3.95e-65,-Inf,764
"111","BRARA.A00526-MONOMER","BraA01g005400.3C","BRARA.A00526-MONOMER",96.675,842,0,0,NA,1660,96.675,842,0,0,NA,1660
"112","BRARA.A00527-MONOMER","BraA01g005410.3C","BRARA.A00527-MONOMER",94.42,914,0,0,NA,1704,94.42,914,0,0,NA,1704
"113","BRARA.A00535-MONOMER","BraA01g005490.3C","BRARA.A00535-MONOMER",92.551,443,0,0,NA,835,92.551,443,0,0,NA,835
"114","BRARA.A00540-MONOMER","BraA01g005540.3C","BRARA.A00540-MONOMER",99.523,419,0,0,NA,858,99.523,419,0,0,NA,858
"115","BRARA.A00541-MONOMER","BraA01g005550.3C","BRARA.A00541-MONOMER",98.462,455,0,4.71e-53,-Inf,929,98.462,455,0,4.83e-54,-Inf,929
"116","BRARA.A00543-MONOMER","BraA01g005570.3C","BRARA.A00543-MONOMER",100,528,0,0,NA,1088,100,528,0,0,NA,1088
"117","BRARA.A00548-MONOMER","BraA01g005610.3C","BRARA.A00548-MONOMER",99.808,522,0,1.71e-157,-Inf,1083,99.808,522,0,1.48e-153,-Inf,1083
"118","BRARA.A00550-MONOMER","BraA01g005630.3C","BRARA.A00550-MONOMER",99.741,773,0,5.91e-127,-Inf,1598,99.741,773,0,3.91e-141,-Inf,1598
"119","BRARA.A00555-MONOMER","BraA01g005680.3C","BRARA.A00555-MONOMER",90.884,362,0,2.9e-134,-Inf,662,90.884,362,0,1.64e-147,-Inf,662
"120","BRARA.A00556-MONOMER","BraA01g005690.3C","BRARA.A00556-MONOMER",99.237,393,0,2.45e-157,-Inf,797,99.237,393,0,2.06e-155,-Inf,797
"121","BRARA.A00568-MONOMER","BraA01g005810.3C","BRARA.A00568-MONOMER",97.883,614,0,0,NA,1230,97.883,614,0,0,NA,1230
"122","BRARA.A00571-MONOMER","BraA01g005840.3C","BRARA.A00571-MONOMER",100,423,0,0,NA,863,100,423,0,0,NA,863
"123","BRARA.A00575-MONOMER","BraA01g005880.3C","BRARA.A00575-MONOMER",100,349,0,0,NA,721,100,349,0,0,NA,721
"124","BRARA.A00589-MONOMER","BraA01g006040.3C","BRARA.A00589-MONOMER",99.396,497,0,0,NA,1010,99.396,497,0,0,NA,1010
"125","BRARA.A00598-MONOMER","BraA01g006140.3C","BRARA.A00598-MONOMER",100,278,0,0.051,-Inf,568,100,278,0,0.023,-Inf,568
"126","BRARA.A00599-MONOMER","BraA01g006150.3C","BRARA.A00599-MONOMER",94.414,555,0,0,NA,1075,94.414,555,0,0,NA,1075
"127","BRARA.A00614-MONOMER","BraA01g006290.3C","BRARA.A00614-MONOMER",99.567,693,0,0,NA,1419,99.567,693,0,0,NA,1419
"128","BRARA.A00619-MONOMER","BraA01g006340.3C","BRARA.A00619-MONOMER",99.805,513,0,0,NA,1051,99.805,513,0,0,NA,1051
"129","BRARA.A00640-MONOMER","BraA01g006600.3C","BRARA.A00640-MONOMER",96.943,229,3.77e-168,6.68e-156,-12.2484351122698,462,96.943,229,9.24e-169,1.24e-160,-8.12774971394214,462
"130","BRARA.A00648-MONOMER","BraA01g006680.3C","BRARA.A00648-MONOMER",99.38,484,0,0,NA,986,99.38,484,0,0,NA,986
"131","BRARA.A00654-MONOMER","BraA01g006720.3C","BRARA.A00654-MONOMER",94.946,277,0,0,NA,546,94.946,277,0,1.12e-176,-Inf,546
"132","BRARA.A00663-MONOMER","BraA01g006810.3C","BRARA.A00663-MONOMER",99.324,444,0,0,NA,910,99.324,444,0,0,NA,910
"133","BRARA.A00680-MONOMER","BraA01g007130.3C","BRARA.A00680-MONOMER",98.344,785,0,0,NA,1600,98.344,785,0,0,NA,1600
"134","BRARA.A00689-MONOMER","BraA01g007200.3C","BRARA.A00689-MONOMER",99.322,295,0,7.87e-38,-Inf,606,99.322,295,0,7.8e-13,-Inf,606
"135","BRARA.A00693-MONOMER","BraA01g007240.3C","BRARA.A00693-MONOMER",99.602,251,0,3.07e-171,-Inf,510,99.602,251,0,2.37e-171,-Inf,510
"136","BRARA.A00708-MONOMER","BraA01g007360.3C","BRARA.A00708-MONOMER",97.546,163,8.75e-116,9.01e-69,-47.0127167379567,324,97.546,163,2.13e-116,3.25e-68,-48.1835037575401,324
"137","BRARA.A00712-MONOMER","BraA01g007390.3C","BRARA.A00712-MONOMER",100,492,0,0,NA,1025,100,492,0,0,NA,1025
"138","BRARA.A00715-MONOMER","BraA01g007420.3C","BRARA.A00715-MONOMER",100,283,0,0,NA,592,100,283,0,0,NA,592
"139","BRARA.A00716-MONOMER","BraA01g007430.3C","BRARA.A00716-MONOMER",100,283,0,0,NA,595,100,283,0,0,NA,595
"140","BRARA.A00717-MONOMER","BraA01g007440.3C","BRARA.A00717-MONOMER",100,283,0,0,NA,590,100,283,0,0,NA,590
"141","BRARA.A00719-MONOMER","BraA01g007460.3C","BRARA.A00719-MONOMER",100,459,0,0,NA,957,100,459,0,0,NA,957
"142","BRARA.A00722-MONOMER","BraA01g007480.3C","BRARA.A00722-MONOMER",99.018,713,0,0,NA,1466,99.018,713,0,0,NA,1466
"143","BRARA.A00724-MONOMER","BraA01g007510.3C","BRARA.A00724-MONOMER",100,949,0,0,NA,1940,100,949,0,0,NA,1940
"144","BRARA.A00726-MONOMER","BraA01g007530.3C","BRARA.A00726-MONOMER",100,325,0,0,NA,668,100,325,0,0,NA,668
"145","BRARA.A00730-MONOMER","BraA01g007580.3C","BRARA.A00730-MONOMER",100,759,0,0,NA,1553,100,759,0,0,NA,1553
"146","BRARA.A00731-MONOMER","BraA01g007590.3C","BRARA.A00731-MONOMER",100,873,0,0,NA,1796,100,873,0,0,NA,1796
"147","BRARA.A00739-MONOMER","BraA01g007680.3C","BRARA.A00739-MONOMER",97.253,546,0,0.26,-Inf,1083,97.253,546,0,0.33,-Inf,1083
"148","BRARA.A00757-MONOMER","BraA01g007870.3C","BRARA.A00757-MONOMER",99.62,526,0,0,NA,1085,99.62,526,0,0,NA,1085
"149","BRARA.A00761-MONOMER","BraA01g007900.3C","BRARA.A00761-MONOMER",99.438,534,0,0,NA,1090,99.438,534,0,0,NA,1090
"150","BRARA.A00767-MONOMER","BraA01g007960.3C","BRARA.A00767-MONOMER",96.881,545,0,0,NA,1080,96.881,545,0,0,NA,1080
"151","BRARA.A00769-MONOMER","BraA01g007990.3C","BRARA.A00769-MONOMER",99.556,450,0,0,NA,922,99.556,450,0,0,NA,922
"152","BRARA.A00770-MONOMER","BraA01g008000.3C","BRARA.A00770-MONOMER",99.13,460,0,0,NA,950,99.13,460,0,0,NA,950
"153","BRARA.A00771-MONOMER","BraA01g008020.3C","BRARA.A00771-MONOMER",97.006,501,0,0,NA,1008,97.006,501,0,0,NA,1008
"154","BRARA.A00780-MONOMER","BraA01g008110.3C","BRARA.A00780-MONOMER",97.236,398,0,0,NA,792,97.236,398,0,0,NA,792
"155","BRARA.A00781-MONOMER","BraA01g008120.3C","BRARA.A00781-MONOMER",98.583,494,0,1.87e-39,-Inf,1020,98.583,494,0,2.8,-Inf,1020
"156","BRARA.A00784-MONOMER","BraA01g008180.3C","BRARA.A00784-MONOMER",86.631,187,1.12e-113,9.56e-102,-11.9312398696059,320,86.631,187,2.55e-114,9.08e-89,-25.5515456680871,320
"157","BRARA.A00797-MONOMER","BraA01g008280.3C","BRARA.A00797-MONOMER",97.967,541,0,0,NA,1075,97.967,541,0,0,NA,1075
"158","BRARA.A00807-MONOMER","BraA01g008380.3C","BRARA.A00807-MONOMER",95.652,483,0,0,NA,949,95.652,483,0,0,NA,949
"159","BRARA.A00808-MONOMER","BraA01g008390.3C","BRARA.A00808-MONOMER",98.908,641,0,0,NA,1305,98.908,641,0,0,NA,1305
"160","BRARA.A00812-MONOMER","BraA03g004660.3C","BRARA.A00812-MONOMER",99.248,133,7.58e-91,1.59e-49,-41.3217279186884,265,99.248,133,3.75e-91,1.76e-52,-38.6714814000864,265
"161","BRARA.A00815-MONOMER","BraA01g008470.3C","BRARA.A00815-MONOMER",99.19,247,0,4.12e-128,-Inf,552,99.19,247,0,0.008,-Inf,552
"162","BRARA.A00825-MONOMER","BraA01g008530.3C","BRARA.A00825-MONOMER",98.755,723,0,0,NA,1452,98.755,723,0,0,NA,1452
"163","BRARA.A00831-MONOMER","BraA01g008590.3C","BRARA.A00831-MONOMER",91.667,348,0,9.31e-76,-Inf,639,91.667,348,0,1.59e-82,-Inf,639
