name,value,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_padjust,Term,Definition,tissue.modules,tissue_LorD_set,-log10 FDR q-val
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0019762,5.775652813125024e-10,0.9999999999893671,7,56,glucosinolate catabolic process,BP,1.0941974254465358e-6,glucosinolate catabolic process,"The chemical reactions and pathways resulting in the breakdown of glucosinolates, substituted thioglucosides found in rapeseed products and related cruciferae.",leaf.bisque4,root_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0019762,5.775652813125024e-10,0.9999999999893671,7,56,glucosinolate catabolic process,BP,1.0941974254465358e-6,glucosinolate catabolic process,"The chemical reactions and pathways resulting in the breakdown of glucosinolates, substituted thioglucosides found in rapeseed products and related cruciferae.",leaf.bisque4,root_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0050832,8.979300301876149e-10,0.9999999999308573,13,469,defense response to fungus,BP,1.1340856281269576e-6,defense response to fungus,Reactions triggered in response to the presence of a fungus that act to protect the cell or organism.,leaf.bisque4,leaf_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0050832,8.979300301876149e-10,0.9999999999308573,13,469,defense response to fungus,BP,1.1340856281269576e-6,defense response to fungus,Reactions triggered in response to the presence of a fungus that act to protect the cell or organism.,leaf.bisque4,leaf_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0050832,8.979300301876149e-10,0.9999999999308573,13,469,defense response to fungus,BP,1.1340856281269576e-6,defense response to fungus,Reactions triggered in response to the presence of a fungus that act to protect the cell or organism.,leaf.bisque4,root_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0050832,8.979300301876149e-10,0.9999999999308573,13,469,defense response to fungus,BP,1.1340856281269576e-6,defense response to fungus,Reactions triggered in response to the presence of a fungus that act to protect the cell or organism.,leaf.bisque4,root_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0009651,2.5129939885451483e-9,0.999999999649218,18,1045,response to salt stress,BP,2.3804335556493918e-6,response to salt stress,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment.",leaf.bisque4,leaf_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0009651,2.5129939885451483e-9,0.999999999649218,18,1045,response to salt stress,BP,2.3804335556493918e-6,response to salt stress,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment.",leaf.bisque4,leaf_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0009651,2.5129939885451483e-9,0.999999999649218,18,1045,response to salt stress,BP,2.3804335556493918e-6,response to salt stress,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment.",leaf.bisque4,root_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0009651,2.5129939885451483e-9,0.999999999649218,18,1045,response to salt stress,BP,2.3804335556493918e-6,response to salt stress,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment.",leaf.bisque4,root_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0006032,2.7787157832923483e-6,0.9999999536370077,4,35,chitin catabolic process,BP,0.0021057108205789414,chitin catabolic process,"The chemical reactions and pathways resulting in the breakdown of chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues.",leaf.bisque4,leaf_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0006032,2.7787157832923483e-6,0.9999999536370077,4,35,chitin catabolic process,BP,0.0021057108205789414,chitin catabolic process,"The chemical reactions and pathways resulting in the breakdown of chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues.",leaf.bisque4,leaf_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0006032,2.7787157832923483e-6,0.9999999536370077,4,35,chitin catabolic process,BP,0.0021057108205789414,chitin catabolic process,"The chemical reactions and pathways resulting in the breakdown of chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues.",leaf.bisque4,root_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0006032,2.7787157832923483e-6,0.9999999536370077,4,35,chitin catabolic process,BP,0.0021057108205789414,chitin catabolic process,"The chemical reactions and pathways resulting in the breakdown of chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues.",leaf.bisque4,root_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0000272,5.875348728537657e-6,0.9999998803899669,4,39,polysaccharide catabolic process,BP,0.0037102827220715302,polysaccharide catabolic process,"The chemical reactions and pathways resulting in the breakdown of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically.",leaf.bisque4,leaf_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0000272,5.875348728537657e-6,0.9999998803899669,4,39,polysaccharide catabolic process,BP,0.0037102827220715302,polysaccharide catabolic process,"The chemical reactions and pathways resulting in the breakdown of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically.",leaf.bisque4,leaf_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0000272,5.875348728537657e-6,0.9999998803899669,4,39,polysaccharide catabolic process,BP,0.0037102827220715302,polysaccharide catabolic process,"The chemical reactions and pathways resulting in the breakdown of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically.",leaf.bisque4,root_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0000272,5.875348728537657e-6,0.9999998803899669,4,39,polysaccharide catabolic process,BP,0.0037102827220715302,polysaccharide catabolic process,"The chemical reactions and pathways resulting in the breakdown of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically.",leaf.bisque4,root_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0072722,7.994023086400577e-6,1,2,2,response to amitrole,BP,0.0043270504963388275,response to amitrole,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an amitrole stimulus.",leaf.bisque4,leaf_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0072722,7.994023086400577e-6,1,2,2,response to amitrole,BP,0.0043270504963388275,response to amitrole,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an amitrole stimulus.",leaf.bisque4,leaf_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0072722,7.994023086400577e-6,1,2,2,response to amitrole,BP,0.0043270504963388275,response to amitrole,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an amitrole stimulus.",leaf.bisque4,root_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0072722,7.994023086400577e-6,1,2,2,response to amitrole,BP,0.0043270504963388275,response to amitrole,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an amitrole stimulus.",leaf.bisque4,root_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0005975,1.6105674523803165e-5,0.99999757720886,10,541,carbohydrate metabolic process,BP,0.007628050096336274,carbohydrate metabolic process,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.",leaf.bisque4,leaf_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0005975,1.6105674523803165e-5,0.99999757720886,10,541,carbohydrate metabolic process,BP,0.007628050096336274,carbohydrate metabolic process,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.",leaf.bisque4,leaf_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0005975,1.6105674523803165e-5,0.99999757720886,10,541,carbohydrate metabolic process,BP,0.007628050096336274,carbohydrate metabolic process,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.",leaf.bisque4,root_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0005975,1.6105674523803165e-5,0.99999757720886,10,541,carbohydrate metabolic process,BP,0.007628050096336274,carbohydrate metabolic process,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.",leaf.bisque4,root_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0010150,6.117145845219594e-5,0.9999945964858465,6,219,leaf senescence,BP,0.02575318400837449,leaf senescence,"The process that occurs in a leaf near the end of its active life that is associated with the dismantling of cell components and membranes, loss of functional chloroplasts, and an overall decline in metabolism.",leaf.bisque4,leaf_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0010150,6.117145845219594e-5,0.9999945964858465,6,219,leaf senescence,BP,0.02575318400837449,leaf senescence,"The process that occurs in a leaf near the end of its active life that is associated with the dismantling of cell components and membranes, loss of functional chloroplasts, and an overall decline in metabolism.",leaf.bisque4,leaf_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0010150,6.117145845219594e-5,0.9999945964858465,6,219,leaf senescence,BP,0.02575318400837449,leaf senescence,"The process that occurs in a leaf near the end of its active life that is associated with the dismantling of cell components and membranes, loss of functional chloroplasts, and an overall decline in metabolism.",leaf.bisque4,root_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0010150,6.117145845219594e-5,0.9999945964858465,6,219,leaf senescence,BP,0.02575318400837449,leaf senescence,"The process that occurs in a leaf near the end of its active life that is associated with the dismantling of cell components and membranes, loss of functional chloroplasts, and an overall decline in metabolism.",leaf.bisque4,root_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0019567,1.1477819851746502e-4,0.9999996136688274,2,5,arabinose biosynthetic process,BP,0.04348945941826749,arabinose biosynthetic process,"The chemical reactions and pathways resulting in the formation of arabinose, arabino-pentose.",leaf.bisque4,leaf_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0019567,1.1477819851746502e-4,0.9999996136688274,2,5,arabinose biosynthetic process,BP,0.04348945941826749,arabinose biosynthetic process,"The chemical reactions and pathways resulting in the formation of arabinose, arabino-pentose.",leaf.bisque4,leaf_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0019567,1.1477819851746502e-4,0.9999996136688274,2,5,arabinose biosynthetic process,BP,0.04348945941826749,arabinose biosynthetic process,"The chemical reactions and pathways resulting in the formation of arabinose, arabino-pentose.",leaf.bisque4,root_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0019567,1.1477819851746502e-4,0.9999996136688274,2,5,arabinose biosynthetic process,BP,0.04348945941826749,arabinose biosynthetic process,"The chemical reactions and pathways resulting in the formation of arabinose, arabino-pentose.",leaf.bisque4,root_Dead,0
leaf.voom5.module.signedhybrid_black,NA,GO:0009853,6.050207481081006e-11,1,15,104,photorespiration,BP,2.292423614581593e-7,photorespiration,"A light-dependent catabolic process occurring concomitantly with photosynthesis in plants (especially C3 plants) whereby dioxygen (O2) is consumed and carbon dioxide (CO2) is evolved. The substrate is glycolate formed in large quantities in chloroplasts from 2-phosphoglycolate generated from ribulose 1,5-bisphosphate by the action of ribulose-bisphosphate carboxylase; the glycolate enters the peroxisomes where it is converted by glycolate oxidase to glyoxylate which undergoes transamination to glycine. This then passes into the mitochondria where it is decarboxylated forming one molecule of serine for every two molecules of glycine. This pathway also exists in photosynthetic bacteria.",leaf.black,leaf_Live,0
leaf.voom5.module.signedhybrid_black,NA,GO:0009853,6.050207481081006e-11,1,15,104,photorespiration,BP,2.292423614581593e-7,photorespiration,"A light-dependent catabolic process occurring concomitantly with photosynthesis in plants (especially C3 plants) whereby dioxygen (O2) is consumed and carbon dioxide (CO2) is evolved. The substrate is glycolate formed in large quantities in chloroplasts from 2-phosphoglycolate generated from ribulose 1,5-bisphosphate by the action of ribulose-bisphosphate carboxylase; the glycolate enters the peroxisomes where it is converted by glycolate oxidase to glyoxylate which undergoes transamination to glycine. This then passes into the mitochondria where it is decarboxylated forming one molecule of serine for every two molecules of glycine. This pathway also exists in photosynthetic bacteria.",leaf.black,leaf_Dead,0
leaf.voom5.module.signedhybrid_black,NA,GO:0009853,6.050207481081006e-11,1,15,104,photorespiration,BP,2.292423614581593e-7,photorespiration,"A light-dependent catabolic process occurring concomitantly with photosynthesis in plants (especially C3 plants) whereby dioxygen (O2) is consumed and carbon dioxide (CO2) is evolved. The substrate is glycolate formed in large quantities in chloroplasts from 2-phosphoglycolate generated from ribulose 1,5-bisphosphate by the action of ribulose-bisphosphate carboxylase; the glycolate enters the peroxisomes where it is converted by glycolate oxidase to glyoxylate which undergoes transamination to glycine. This then passes into the mitochondria where it is decarboxylated forming one molecule of serine for every two molecules of glycine. This pathway also exists in photosynthetic bacteria.",leaf.black,root_Live,0
leaf.voom5.module.signedhybrid_black,NA,GO:0009853,6.050207481081006e-11,1,15,104,photorespiration,BP,2.292423614581593e-7,photorespiration,"A light-dependent catabolic process occurring concomitantly with photosynthesis in plants (especially C3 plants) whereby dioxygen (O2) is consumed and carbon dioxide (CO2) is evolved. The substrate is glycolate formed in large quantities in chloroplasts from 2-phosphoglycolate generated from ribulose 1,5-bisphosphate by the action of ribulose-bisphosphate carboxylase; the glycolate enters the peroxisomes where it is converted by glycolate oxidase to glyoxylate which undergoes transamination to glycine. This then passes into the mitochondria where it is decarboxylated forming one molecule of serine for every two molecules of glycine. This pathway also exists in photosynthetic bacteria.",leaf.black,root_Dead,1.5913588539026076
leaf.voom5.module.signedhybrid_black,NA,GO:0006886,8.199874196849145e-9,0.9999999985821768,23,428,intracellular protein transport,BP,1.5534661665930705e-5,intracellular protein transport,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",leaf.black,leaf_Live,0
leaf.voom5.module.signedhybrid_black,NA,GO:0006886,8.199874196849145e-9,0.9999999985821768,23,428,intracellular protein transport,BP,1.5534661665930705e-5,intracellular protein transport,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",leaf.black,leaf_Dead,0
leaf.voom5.module.signedhybrid_black,NA,GO:0006886,8.199874196849145e-9,0.9999999985821768,23,428,intracellular protein transport,BP,1.5534661665930705e-5,intracellular protein transport,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",leaf.black,root_Live,0
leaf.voom5.module.signedhybrid_black,NA,GO:0006886,8.199874196849145e-9,0.9999999985821768,23,428,intracellular protein transport,BP,1.5534661665930705e-5,intracellular protein transport,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",leaf.black,root_Dead,1.5913588539026076
leaf.voom5.module.signedhybrid_black,NA,GO:0016192,2.8813231232177464e-8,0.9999999959658659,17,244,vesicle-mediated transport,BP,3.639111104624014e-5,vesicle-mediated transport,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.",leaf.black,leaf_Live,0
leaf.voom5.module.signedhybrid_black,NA,GO:0016192,2.8813231232177464e-8,0.9999999959658659,17,244,vesicle-mediated transport,BP,3.639111104624014e-5,vesicle-mediated transport,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.",leaf.black,leaf_Dead,0
leaf.voom5.module.signedhybrid_black,NA,GO:0016192,2.8813231232177464e-8,0.9999999959658659,17,244,vesicle-mediated transport,BP,3.639111104624014e-5,vesicle-mediated transport,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.",leaf.black,root_Live,0
leaf.voom5.module.signedhybrid_black,NA,GO:0016192,2.8813231232177464e-8,0.9999999959658659,17,244,vesicle-mediated transport,BP,3.639111104624014e-5,vesicle-mediated transport,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.",leaf.black,root_Dead,1.5913588539026076
leaf.voom5.module.signedhybrid_black,NA,GO:0006120,4.9318641822461854e-5,0.9999973206100625,5,23,"mitochondrial electron transport, NADH to ubiquinone",BP,0.04671708346632699,"mitochondrial electron transport, NADH to ubiquinone","The transfer of electrons from NADH to ubiquinone that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex I.",leaf.black,leaf_Live,0
leaf.voom5.module.signedhybrid_black,NA,GO:0006120,4.9318641822461854e-5,0.9999973206100625,5,23,"mitochondrial electron transport, NADH to ubiquinone",BP,0.04671708346632699,"mitochondrial electron transport, NADH to ubiquinone","The transfer of electrons from NADH to ubiquinone that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex I.",leaf.black,leaf_Dead,0
leaf.voom5.module.signedhybrid_black,NA,GO:0006120,4.9318641822461854e-5,0.9999973206100625,5,23,"mitochondrial electron transport, NADH to ubiquinone",BP,0.04671708346632699,"mitochondrial electron transport, NADH to ubiquinone","The transfer of electrons from NADH to ubiquinone that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex I.",leaf.black,root_Live,0
leaf.voom5.module.signedhybrid_black,NA,GO:0006120,4.9318641822461854e-5,0.9999973206100625,5,23,"mitochondrial electron transport, NADH to ubiquinone",BP,0.04671708346632699,"mitochondrial electron transport, NADH to ubiquinone","The transfer of electrons from NADH to ubiquinone that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex I.",leaf.black,root_Dead,1.5913588539026076
leaf.voom5.module.signedhybrid_blue,NA,GO:0006355,6.921172714259446e-8,1,93,2992,"regulation of transcription, DNA-templated",BP,2.622432341432904e-4,"regulation of transcription, DNA-templated","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.",leaf.blue,leaf_Live,0.5255979617486329
leaf.voom5.module.signedhybrid_blue,NA,GO:0006355,6.921172714259446e-8,1,93,2992,"regulation of transcription, DNA-templated",BP,2.622432341432904e-4,"regulation of transcription, DNA-templated","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.",leaf.blue,leaf_Dead,0
leaf.voom5.module.signedhybrid_blue,NA,GO:0006355,6.921172714259446e-8,1,93,2992,"regulation of transcription, DNA-templated",BP,2.622432341432904e-4,"regulation of transcription, DNA-templated","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.",leaf.blue,root_Live,0.7768086392167739
leaf.voom5.module.signedhybrid_blue,NA,GO:0006355,6.921172714259446e-8,1,93,2992,"regulation of transcription, DNA-templated",BP,2.622432341432904e-4,"regulation of transcription, DNA-templated","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.",leaf.blue,root_Dead,0
leaf.voom5.module.signedhybrid_blue,NA,GO:0000398,1.9095763192439125e-6,0.9999995069398102,21,182,"mRNA splicing, via spliceosome",BP,0.0036176923368075923,"mRNA splicing, via spliceosome","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced.",leaf.blue,leaf_Live,0.5255979617486329
leaf.voom5.module.signedhybrid_blue,NA,GO:0000398,1.9095763192439125e-6,0.9999995069398102,21,182,"mRNA splicing, via spliceosome",BP,0.0036176923368075923,"mRNA splicing, via spliceosome","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced.",leaf.blue,leaf_Dead,0
leaf.voom5.module.signedhybrid_blue,NA,GO:0000398,1.9095763192439125e-6,0.9999995069398102,21,182,"mRNA splicing, via spliceosome",BP,0.0036176923368075923,"mRNA splicing, via spliceosome","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced.",leaf.blue,root_Live,0.7768086392167739
leaf.voom5.module.signedhybrid_blue,NA,GO:0000398,1.9095763192439125e-6,0.9999995069398102,21,182,"mRNA splicing, via spliceosome",BP,0.0036176923368075923,"mRNA splicing, via spliceosome","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced.",leaf.blue,root_Dead,0
leaf.voom5.module.signedhybrid_blue,NA,GO:0010228,1.0218388344874442e-5,0.9999969267634727,22,222,vegetative to reproductive phase transition of meristem,BP,0.01290582447957642,vegetative to reproductive phase transition of meristem,"The process involved in transforming a meristem that produces vegetative structures, such as leaves, into a meristem that produces reproductive structures, such as a flower or an inflorescence.",leaf.blue,leaf_Live,0.5255979617486329
leaf.voom5.module.signedhybrid_blue,NA,GO:0010228,1.0218388344874442e-5,0.9999969267634727,22,222,vegetative to reproductive phase transition of meristem,BP,0.01290582447957642,vegetative to reproductive phase transition of meristem,"The process involved in transforming a meristem that produces vegetative structures, such as leaves, into a meristem that produces reproductive structures, such as a flower or an inflorescence.",leaf.blue,leaf_Dead,0
leaf.voom5.module.signedhybrid_blue,NA,GO:0010228,1.0218388344874442e-5,0.9999969267634727,22,222,vegetative to reproductive phase transition of meristem,BP,0.01290582447957642,vegetative to reproductive phase transition of meristem,"The process involved in transforming a meristem that produces vegetative structures, such as leaves, into a meristem that produces reproductive structures, such as a flower or an inflorescence.",leaf.blue,root_Live,0.7768086392167739
leaf.voom5.module.signedhybrid_blue,NA,GO:0010228,1.0218388344874442e-5,0.9999969267634727,22,222,vegetative to reproductive phase transition of meristem,BP,0.01290582447957642,vegetative to reproductive phase transition of meristem,"The process involved in transforming a meristem that produces vegetative structures, such as leaves, into a meristem that produces reproductive structures, such as a flower or an inflorescence.",leaf.blue,root_Dead,0
leaf.voom5.module.signedhybrid_blue,NA,GO:0009908,1.9282363455275038e-5,0.9999927574517552,29,397,flower development,BP,0.01826521878300928,flower development,"The process whose specific outcome is the progression of the flower over time, from its formation to the mature structure. The flower is the reproductive structure in a plant, and its development begins with the transition of the vegetative or inflorescence meristem into a floral meristem.",leaf.blue,leaf_Live,0.5255979617486329
leaf.voom5.module.signedhybrid_blue,NA,GO:0009908,1.9282363455275038e-5,0.9999927574517552,29,397,flower development,BP,0.01826521878300928,flower development,"The process whose specific outcome is the progression of the flower over time, from its formation to the mature structure. The flower is the reproductive structure in a plant, and its development begins with the transition of the vegetative or inflorescence meristem into a floral meristem.",leaf.blue,leaf_Dead,0
leaf.voom5.module.signedhybrid_blue,NA,GO:0009908,1.9282363455275038e-5,0.9999927574517552,29,397,flower development,BP,0.01826521878300928,flower development,"The process whose specific outcome is the progression of the flower over time, from its formation to the mature structure. The flower is the reproductive structure in a plant, and its development begins with the transition of the vegetative or inflorescence meristem into a floral meristem.",leaf.blue,root_Live,0.7768086392167739
leaf.voom5.module.signedhybrid_blue,NA,GO:0009908,1.9282363455275038e-5,0.9999927574517552,29,397,flower development,BP,0.01826521878300928,flower development,"The process whose specific outcome is the progression of the flower over time, from its formation to the mature structure. The flower is the reproductive structure in a plant, and its development begins with the transition of the vegetative or inflorescence meristem into a floral meristem.",leaf.blue,root_Dead,0
leaf.voom5.module.signedhybrid_blue,NA,GO:0045892,5.682695034716285e-5,0.9999805217795722,22,355,"negative regulation of transcription, DNA-templated",BP,0.0410090284101588,"negative regulation of transcription, DNA-templated","Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription.",leaf.blue,leaf_Live,0.5255979617486329
leaf.voom5.module.signedhybrid_blue,NA,GO:0045892,5.682695034716285e-5,0.9999805217795722,22,355,"negative regulation of transcription, DNA-templated",BP,0.0410090284101588,"negative regulation of transcription, DNA-templated","Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription.",leaf.blue,leaf_Dead,0
