name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_padjust,Definition,value
leaf.brown,GO:0060567,3.434257418311826e-5,1,3,3,"negative regulation of DNA-templated transcription, termination",BP,0.007654353739990298,"Any process that decreases the rate, frequency or extent of DNA-dependent transcription termination, the process in which transcription is completed; the formation of phosphodiester bonds ceases, the RNA-DNA hybrid dissociates, and RNA polymerase releases the DNA.",NA
leaf.brown,GO:0000467,4.525302071293922e-5,0.9999990423717445,4,7,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",BP,0.009525760860073706,"Exonucleolytic digestion of a pre-rRNA molecule to generate the mature 3'-end of a 5.8S rRNA molecule derived from an originally tricistronic pre-rRNA transcript that contained the Small Subunit (SSU) rRNA, the 5.8S rRNA, and the Large Subunit (LSU) rRNA in that order from 5' to 3' along the primary transcript.",NA
leaf.brown,GO:0034286,5.5687520415807023e-5,1,3,3,response to maltose,BP,0.01110526393976278,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a maltose stimulus.",NA
leaf.brown,GO:0045739,1.0010546818418545e-4,0.9999943779419196,5,14,positive regulation of DNA repair,BP,0.018964980947493933,"Any process that activates or increases the frequency, rate or extent of DNA repair.",NA
leaf.brown,GO:0034473,2.0113464346807258e-4,0.9999980749085563,3,4,U1 snRNA 3'-end processing,BP,0.0331347462652403,Any process involved in forming the mature 3' end of a U1 snRNA molecule.,NA
leaf.brown,GO:0034476,2.0113464346807258e-4,0.9999980749085563,3,4,U5 snRNA 3'-end processing,BP,0.0331347462652403,Any process involved in forming the mature 3' end of a U5 snRNA molecule.,NA
leaf.brown,GO:0071042,2.0113464346807258e-4,0.9999980749085563,3,4,nuclear polyadenylation-dependent mRNA catabolic process,BP,0.0331347462652403,"The chemical reactions and pathways occurring in the nucleus and resulting in the breakdown of a messenger RNA (mRNA) molecule, initiated by the enzymatic addition of a sequence of adenylyl residues (polyadenylation) at the 3' end the target mRNA.",NA
leaf.brown,GO:0035556,2.1456815563637528e-4,0.9999104611841764,27,313,intracellular signal transduction,BP,0.033874947571092745,"The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell.",NA
leaf.brown,GO:0042255,2.706670891526534e-4,0.9999957888678012,3,5,ribosome assembly,BP,0.04102230403197615,"The aggregation, arrangement and bonding together of the mature ribosome and of its subunits.",NA
leaf.brown4,GO:0006413,3.0825296350425335e-6,0.9999998423432103,6,182,translational initiation,BP,0.01167970478717616,"The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA or circRNA, and an initiation complex that contains the first aminoacyl-tRNA.",NA
leaf.coral1,GO:0006457,0,1,14,423,protein folding,BP,0,The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure.,NA
leaf.coral1,GO:0030968,0,1,6,30,endoplasmic reticulum unfolded protein response,BP,0,The series of molecular signals generated as a consequence of the presence of unfolded proteins in the endoplasmic reticulum (ER) or other ER-related stress; results in changes in the regulation of transcription and translation.,NA
leaf.coral1,GO:0034976,0,1,8,55,response to endoplasmic reticulum stress,BP,0,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stress acting at the endoplasmic reticulum. ER stress usually results from the accumulation of unfolded or misfolded proteins in the ER lumen.",NA
leaf.coral1,GO:0006620,1.8196970759475312e-9,0.9999999999961606,4,13,posttranslational protein targeting to endoplasmic reticulum membrane,BP,1.723708055191299e-6,"The targeting of proteins to a membrane that occurs after their translation. Some secretory proteins exhibit posttranslational transport into the endoplasmic reticulum (ER) lumen: they are synthesized in their entirety on free cytosolic ribosomes and then released into the cytosol, where they are bound by chaperones which keep them in an unfolded state, and subsequently are translocated across the ER membrane.",NA
leaf.coral1,GO:0006616,8.556924835749534e-9,0.9999999999693561,4,23,"SRP-dependent cotranslational protein targeting to membrane, translocation",BP,6.484437640530997e-6,"The process during cotranslational membrane targeting wherein proteins move across a membrane. SRP and its receptor initiate the transfer of the nascent chain across the endoplasmic reticulum (ER) membrane; they then dissociate from the chain, which is transferred to a set of transmembrane proteins, collectively called the translocon. Once the nascent chain translocon complex is assembled, the elongating chain passes directly from the large ribosomal subunit into the centers of the translocon, a protein-lined channel within the membrane. The growing chain is never exposed to the cytosol and does not fold until it reaches the ER lumen.",NA
leaf.coral1,GO:0006986,1.6736647985466083e-7,0.9999999986806749,4,31,response to unfolded protein,BP,1.0569193202821832e-4,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an unfolded protein stimulus.",NA
leaf.coral1,GO:0034620,2.748828255951161e-7,0.9999999975011645,4,38,cellular response to unfolded protein,BP,1.4879014659712785e-4,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an unfolded protein stimulus.",NA
leaf.coral1,GO:0010197,3.3072342852232835e-7,0.9999999968224715,4,43,polar nucleus fusion,BP,1.5663888383388776e-4,"The merging of the polar nuclei, the two nuclei contained within the same cell that are created from the mitotic division of the megaspore during angiosperm reproduction. Polar nuclear fusion takes place in the ovule, forming in the fusion nucleus and giving rise to the endosperm when fertilized.",NA
leaf.coral1,GO:0034605,4.3942728634945976e-7,0.9999999904066225,5,117,cellular response to heat,BP,1.8499888755312257e-4,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism.",NA
leaf.coral1,GO:0009306,1.381452278814754e-6,0.9999999805523155,4,63,protein secretion,BP,5.234322684429103e-4,The controlled release of proteins from a cell.,NA
leaf.coral1,GO:0030433,1.6523843445725983e-6,0.9999999757660821,4,57,ubiquitin-dependent ERAD pathway,BP,5.470822115199749e-4,"The series of steps necessary to target endoplasmic reticulum (ER)-resident proteins for degradation by the cytoplasmic proteasome. Begins with recognition of the ER-resident protein, includes retrotranslocation (dislocation) of the protein from the ER to the cytosol, protein ubiquitination necessary for correct substrate transfer, transport of the protein to the proteasome, and ends with degradation of the protein by the cytoplasmic proteasome.",NA
leaf.coral1,GO:0006487,1.7326435835945364e-6,0.9999999741156761,4,66,protein N-linked glycosylation,BP,5.470822115199749e-4,"A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the N4 atom of peptidyl-asparagine, the omega-N of arginine, or the N1' atom peptidyl-tryptophan.",NA
leaf.coral1,GO:0006042,3.079189603536409e-6,1,2,2,glucosamine biosynthetic process,BP,8.974653390614965e-4,"The chemical reactions and pathways resulting in the formation of glucosamine (2-amino-2-deoxyglucopyranose), an aminodeoxysugar that occurs in combined form in chitin.",NA
leaf.coral1,GO:0051085,3.967489830040913e-6,0.9999999262619464,4,82,chaperone cofactor-dependent protein refolding,BP,0.0010737727832875014,"The process of assisting in the correct posttranslational noncovalent assembly of proteins, which is dependent on additional protein cofactors. This process occurs over one or several cycles of nucleotide hydrolysis-dependent binding and release.",NA
leaf.coral1,GO:0042026,7.96823131323399e-6,0.9999998222122914,4,97,protein refolding,BP,0.0020127752297229057,"The process carried out by a cell that restores the biological activity of an unfolded or misfolded protein, using helper proteins such as chaperones.",NA
leaf.coral1,GO:0006047,2.533279701141693e-5,0.9999999606924975,2,5,UDP-N-acetylglucosamine metabolic process,BP,0.005999122992266172,"The chemical reactions and pathways involving UDP-N-acetylglucosamine, a substance composed of N-acetylglucosamine, a common structural unit of oligosaccharides, in glycosidic linkage with uridine diphosphate.",NA
leaf.coral1,GO:0009408,3.8386176157585116e-5,0.9999978476229987,5,305,response to heat,BP,0.008555601262417058,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism.",NA
leaf.coral1,GO:0046686,4.4821726334080375e-5,0.9999953674995714,7,753,response to cadmium ion,BP,0.00943497339332392,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cadmium (Cd) ion stimulus.",NA
leaf.coral1,GO:0055074,5.406766160823669e-5,0.9999998533981028,2,8,calcium ion homeostasis,BP,0.01078222999124257,Any process involved in the maintenance of an internal steady state of calcium ions within an organism or cell.,NA
leaf.coral1,GO:0018279,8.152726855462745e-5,0.9999997143347895,2,10,protein N-linked glycosylation via asparagine,BP,0.01544534102767417,"The glycosylation of protein via the N4 atom of peptidyl-asparagine forming N4-glycosyl-L-asparagine; the most common form is N-acetylglucosaminyl asparagine; N-acetylgalactosaminyl asparagine and N4 glucosyl asparagine also occur. This modification typically occurs in extracellular peptides with an N-X-(ST) motif. Partial modification has been observed to occur with cysteine, rather than serine or threonine, in the third position; secondary structure features are important, and proline in the second or fourth positions inhibits modification.",NA
leaf.coral1,GO:0072334,1.0720384323598083e-4,0.9999995499498248,2,13,UDP-galactose transmembrane transport,BP,0.01934263628672054,The process in which UDP-galactose is transported across a membrane.,NA
leaf.coral1,GO:0010483,1.1708479746914029e-4,0.9999994993491204,2,11,pollen tube reception,BP,0.020165195345935114,"Interaction between the pollen tube, part of the male gametophyte, and the ovule, part of the female gametophyte, that results in the arrest of pollen tube growth, rupture of the pollen tube and the release of the sperm cells.",NA
leaf.coral1,GO:0009735,1.2709317333038186e-4,0.9999907794490535,5,412,response to cytokinin,BP,0.020937218858644212,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokinin stimulus.",NA
leaf.coral1,GO:0052033,2.443156692355566e-4,0.9999983887723567,2,18,pathogen-associated molecular pattern dependent induction by symbiont of host innate immune response,BP,0.0385713362805635,"Any process that involves recognition of a pathogen-associated molecular pattern, and by which an organism activates, maintains or increases the frequency, rate or extent of the innate immune response of the host organism; the innate immune response is the host's first line of defense against infection. The host is defined as the larger of the organisms involved in a symbiotic interaction.",NA
leaf.coral2,GO:0009772,5.127744044988869e-12,1,5,17,photosynthetic electron transport in photosystem II,BP,1.9429022186462824e-8,"A photosynthetic electron transport chain in which electrons move from the primary electron acceptor (Quinone, Q) through a chain of electron transport molecules in the thylakoid membrane until they reach the ultimate electron acceptor of Photosystem II, which is plastocyanin (PC). The electron is then passed to the P700 chlorophyll a molecules of the reaction centre of photosystem I.",NA
leaf.coral2,GO:0019684,2.9092346962563942e-11,1,5,23,"photosynthesis, light reaction",BP,5.511545132057739e-8,"The light reactions of photosynthesis, which take place in photosystems II and I. Light energy is harvested and used to power the transfer of electrons among a series of electron donors and acceptors. The final electron acceptor is NADP+, which is reduced to NADPH. NADPH generated from light reactions is used in sugar synthesis in dark reactions. Light reactions also generate a proton motive force across the thylakoid membrane, and the proton gradient is used to synthesize ATP. There are two chemical reactions involved in the light reactions: water oxidation in photosystem II, and NADP reduction in photosystem I.",NA
leaf.coral2,GO:0018298,1.0055758480549624e-8,0.9999999999023554,5,69,protein-chromophore linkage,BP,1.2700422960934176e-5,The covalent or noncovalent attachment of a chromophore to a protein.,NA
leaf.coral2,GO:0006354,2.1206819810113737e-7,0.9999999995484624,3,12,"DNA-templated transcription, elongation",BP,2.0088160065130238e-4,The extension of an RNA molecule after transcription initiation and promoter clearance at a DNA-dependent RNA polymerase promoter by the addition of ribonucleotides catalyzed by an RNA polymerase.,NA
leaf.coral2,GO:0006119,1.5176542275064463e-6,1,2,2,oxidative phosphorylation,BP,0.001150078373604385,"The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis.",NA
leaf.coral2,GO:0015990,1.9621039547042027e-5,0.9999999693702215,2,7,electron transport coupled proton transport,BP,0.01239068647395704,"The transport of protons against an electrochemical gradient, using energy from electron transport.",NA
leaf.coral2,GO:2001295,3.717766876538949e-5,0.9999999169207,2,8,malonyl-CoA biosynthetic process,BP,0.02012374099315154,"The chemical reactions and pathways resulting in the formation of malonyl-CoA, the S-malonyl derivative of coenzyme A.",NA
leaf.coral2,GO:0006123,6.149263370318449e-5,0.9999998021699108,2,15,"mitochondrial electron transport, cytochrome c to oxygen",BP,0.029124448637670754,"The transfer of electrons from cytochrome c to oxygen that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex IV.",NA
leaf.coral2,GO:0022904,6.953553694463062e-5,0.9999997691280282,2,12,respiratory electron transport chain,BP,0.029274461053689492,A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.,NA
leaf.cyan,NA,NA,NA,NA,NA,NA,NA,NA,NA,no enriched GO
leaf.darkgreen,GO:0009611,2.307569728935158e-12,1,20,419,response to wounding,BP,8.743381702935313e-9,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism.",NA
leaf.darkgreen,GO:0000162,6.786961334524381e-11,1,8,35,tryptophan biosynthetic process,BP,1.285789824825644e-7,"The chemical reactions and pathways resulting in the formation of tryptophan, the chiral amino acid 2-amino-3-(1H-indol-3-yl)propanoic acid; tryptophan is synthesized from chorismate via anthranilate.",NA
leaf.darkgreen,GO:0009753,1.7227779354235895e-8,1,14,338,response to jasmonic acid,BP,2.1758685324399935e-5,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a jasmonic acid stimulus.",NA
leaf.darkgreen,GO:0009684,1.0623908254072494e-7,0.9999999984973463,5,17,indoleacetic acid biosynthetic process,BP,1.006349709367017e-4,"The chemical reactions and pathways resulting in the formation of indole-3-acetic acid, a compound which functions as a growth regulator in plants.",NA
leaf.darkgreen,GO:0010439,8.685479053239642e-7,0.9999999792042417,5,28,regulation of glucosinolate biosynthetic process,BP,5.642822689455959e-4,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of glucosinolates, substituted thioglucosides found in rapeseed products and related cruciferae.",NA
leaf.darkgreen,GO:0070814,8.935586206581091e-7,0.9999999903958802,4,13,hydrogen sulfide biosynthetic process,BP,5.642822689455959e-4,"The chemical reactions and pathways resulting in the formation of hydrogen sulfide, H2S.",NA
leaf.darkgreen,GO:0048232,2.42151304712491e-6,0.999999964173438,4,17,male gamete generation,BP,0.0013107304193651834,Generation of the male gamete; specialised haploid cells produced by meiosis and along with a female gamete takes part in sexual reproduction.,NA
leaf.darkgreen,GO:0052544,3.235494695050138e-6,0.9999998970964434,5,31,defense response by callose deposition in cell wall,BP,0.0015324111749431216,"Any process in which callose is transported to, and/or maintained in, the cell wall during the defense response. Callose is a linear 1,3-beta-d-glucan formed from UDP-glucose and is found in certain plant cell walls.",NA
leaf.darkgreen,GO:0019344,6.027701760302008e-6,0.999999775746689,5,41,cysteine biosynthetic process,BP,0.0025376624410871455,"The chemical reactions and pathways resulting in the formation of cysteine, 2-amino-3-mercaptopropanoic acid.",NA
leaf.darkgreen,GO:0000103,1.3379892013866585e-5,0.9999996761058242,4,24,sulfate assimilation,BP,0.004989864255052108,The pathways by which inorganic sulfate is processed and incorporated into sulfated compounds.,NA
leaf.darkgreen,GO:2000022,1.4486277858425228e-5,0.9999990224298149,6,89,regulation of jasmonic acid mediated signaling pathway,BP,0.004989864255052108,"Any process that modulates the frequency, rate or extent of jasmonic acid mediated signaling pathway.",NA
leaf.darkgreen,GO:0031347,1.9246097547995745e-5,0.9999986301675702,6,95,regulation of defense response,BP,0.006076955300779657,"Any process that modulates the frequency, rate or extent of a defense response.",NA
leaf.darkgreen,GO:0032260,8.129498026832039e-5,0.9999998590208761,2,3,response to jasmonic acid stimulus involved in jasmonic acid and ethylene-dependent systemic resistance,BP,0.02369436001820507,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a jasmonic acid stimulus received in the context of the jasmonic acid- and ethylene (ethene)-dependent process that confers broad spectrum systemic resistance to disease in response to wounding or a pathogen.",NA
leaf.darkgreen,GO:0019761,9.514144215700398e-5,0.9999934645827872,5,69,glucosinolate biosynthetic process,BP,0.025749351738063437,"The chemical reactions and pathways resulting in the formation of glucosinolates, substituted thioglucosides found in rapeseed products and related cruciferae.",NA
leaf.darkgreen,GO:1900067,1.1593722872355728e-4,0.9999997596530663,2,3,regulation of cellular response to alkaline pH,BP,0.02928574397557057,NA,NA
leaf.darkgrey,NA,NA,NA,NA,NA,NA,NA,NA,NA,no enriched GO
leaf.darkmagenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,no enriched GO
leaf.darkolivegreen,GO:0006952,1.8267363823722565e-7,0.999999959433574,21,1165,defense response,BP,6.92150415280848e-4,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack.",NA
leaf.darkolivegreen,GO:0010038,2.715599121307424e-6,0.9999999579533608,4,19,response to metal ion,BP,0.005144702535316914,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a metal ion stimulus.",NA
leaf.darkolivegreen,GO:0006468,2.9253647433735617e-5,0.9999906354456981,22,1484,protein phosphorylation,BP,0.03694735670880808,The process of introducing a phosphate group on to a protein.,NA
leaf.darkorange,NA,NA,NA,NA,NA,NA,NA,NA,NA,no enriched GO
leaf.darkorange2,GO:0032482,2.81026350333776e-10,0.9999999999927872,8,109,Rab protein signal transduction,BP,1.0648088414146772e-6,A series of molecular signals within the cell that are mediated by a member of the Rab family of proteins switching to a GTP-bound active state.,NA
leaf.darkorange2,GO:0006886,7.263778961304103e-10,0.9999999999519926,12,428,intracellular protein transport,BP,1.3761229242190624e-6,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",NA
leaf.darkorange2,GO:0010499,6.456272045107291e-6,0.9999998638004182,4,49,proteasomal ubiquitin-independent protein catabolic process,BP,0.007767847711212128,The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome but do not involve ubiquitin.,NA
leaf.darkorange2,GO:0010498,8.200419858761813e-6,0.9999998155220119,4,52,proteasomal protein catabolic process,BP,0.007767847711212128,The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome.,NA
leaf.darkorange2,GO:0009306,1.8194659890977425e-5,0.9999994934709602,4,63,protein secretion,BP,0.013787913265382692,The controlled release of proteins from a cell.,NA
leaf.darkorange2,GO:0017157,2.3959339187929993e-5,0.9999997163353596,3,23,regulation of exocytosis,BP,0.015130322697177791,"Any process that modulates the frequency, rate or extent of exocytosis.",NA
leaf.darkorange2,GO:0006888,5.818595932300042e-5,0.9999963613374346,5,166,ER to Golgi vesicle-mediated transport,BP,0.028399219835083964,"The directed movement of substances from the endoplasmic reticulum (ER) to the Golgi, mediated by COP II vesicles. Small COP II coated vesicles form from the ER and then fuse directly with the cis-Golgi. Larger structures are transported along microtubules to the cis-Golgi.",NA
leaf.darkorange2,GO:0043161,5.996140371619734e-5,0.9999962258963083,5,167,proteasome-mediated ubiquitin-dependent protein catabolic process,BP,0.028399219835083964,"The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome.",NA
leaf.darkred,GO:0006468,5.3545311597213306e-15,1,45,1484,protein phosphorylation,BP,2.028831856418412e-11,The process of introducing a phosphate group on to a protein.,NA
leaf.darkred,GO:0042742,1.473725555228166e-10,1,24,726,defense response to bacterium,BP,1.930436326401438e-7,Reactions triggered in response to the presence of a bacterium that act to protect the cell or organism.,NA
leaf.darkred,GO:0010200,1.528453148378019e-10,1,15,286,response to chitin,BP,1.930436326401438e-7,"A process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chitin stimulus.",NA
leaf.darkred,GO:0009816,3.8221155419089994e-8,0.9999999976465053,9,97,"defense response to bacterium, incompatible interaction",BP,3.6204989470733e-5,A response of an organism to a bacterium that prevents the occurrence or spread of disease.,NA
leaf.darkred,GO:0009620,1.4229005718005553e-5,0.9999984339019499,8,150,response to fungus,BP,0.010782740533104606,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a fungus.",NA
leaf.darkred,GO:0010193,2.3145502484464495e-5,0.9999988361325078,5,54,response to ozone,BP,0.01461638481893933,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ozone stimulus.",NA
leaf.darkred,GO:0019438,4.675173067858964e-5,0.9999983836886557,4,33,aromatic compound biosynthetic process,BP,0.025306043934453737,"The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring.",NA
