name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_padjust,Term,Definition
leaf.voom5.module.signedhybrid_bisque4,GO:0010150,4.83E-10,1,27,219,leaf senescence,BP,1.14E-07,leaf senescence,"The process that occurs in a leaf near the end of its active life that is associated with the dismantling of cell components and membranes, loss of functional chloroplasts, and an overall decline in metabolism."
leaf.voom5.module.signedhybrid_bisque4,GO:0002229,2.16E-09,1,21,126,defense response to oomycetes,BP,4.82E-07,defense response to oomycetes,Reactions triggered in response to the presence of oomycetes that act to protect the cell or organism.
leaf.voom5.module.signedhybrid_bisque4,GO:0009620,3.40E-09,0.999999999,22,150,response to fungus,BP,7.16E-07,response to fungus,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a fungus."
leaf.voom5.module.signedhybrid_bisque4,GO:0048544,3.67E-09,1,16,72,recognition of pollen,BP,7.32E-07,recognition of pollen,"The process, involving the sharing and interaction of the single locus incompatibility haplotypes, involved in the recognition or rejection of the self pollen by cells in the stigma. This process ensures out-breeding in certain plant species."
leaf.voom5.module.signedhybrid_bisque4,GO:0034976,7.74E-08,0.999999992,12,55,response to endoplasmic reticulum stress,BP,1.47E-05,response to endoplasmic reticulum stress,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stress acting at the endoplasmic reticulum. ER stress usually results from the accumulation of unfolded or misfolded proteins in the ER lumen."
leaf.voom5.module.signedhybrid_bisque4,GO:0050691,1.15E-07,0.999999999,5,6,regulation of defense response to virus by host,BP,2.07E-05,regulation of defense response to virus by host,"Any host process that modulates the frequency, rate, or extent of the antiviral response of a host cell or organism."
leaf.voom5.module.signedhybrid_bisque4,GO:0009626,1.27E-07,0.999999975,19,140,plant-type hypersensitive response,BP,2.19E-05,plant-type hypersensitive response,"The rapid, localized death of plant cells in response to invasion by a pathogen."
leaf.voom5.module.signedhybrid_bisque4,GO:0010112,1.47E-07,0.999999993,8,22,regulation of systemic acquired resistance,BP,2.42E-05,regulation of systemic acquired resistance,"Any process that modulates the frequency, rate or extent of systemic acquired resistance."
leaf.voom5.module.signedhybrid_bisque4,GO:2000022,2.29E-07,0.999999967,14,89,regulation of jasmonic acid mediated signaling pathway,BP,3.62E-05,regulation of jasmonic acid mediated signaling pathway,"Any process that modulates the frequency, rate or extent of jasmonic acid mediated signaling pathway."
leaf.voom5.module.signedhybrid_bisque4,GO:0010193,3.45E-07,0.999999964,11,54,response to ozone,BP,5.13E-05,response to ozone,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ozone stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0010942,3.52E-07,0.999999987,7,16,positive regulation of cell death,BP,5.13E-05,positive regulation of cell death,"Any process that increases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."
leaf.voom5.module.signedhybrid_bisque4,GO:0009862,3.92E-07,0.999999978,8,24,"systemic acquired resistance, salicylic acid mediated signaling pathway",BP,5.50E-05,"systemic acquired resistance, salicylic acid mediated signaling pathway",The series of molecular signals mediated by salicylic acid involved in systemic acquired resistance.
leaf.voom5.module.signedhybrid_bisque4,GO:0060862,5.15E-07,0.999999987,6,12,negative regulation of floral organ abscission,BP,6.97E-05,negative regulation of floral organ abscission,"Any process that decreases the rate, frequency, or extent of floral organ abscission, the controlled shedding of floral organs."
leaf.voom5.module.signedhybrid_bisque4,GO:1900056,6.08E-07,0.999999963,8,26,negative regulation of leaf senescence,BP,7.94E-05,negative regulation of leaf senescence,NA
leaf.voom5.module.signedhybrid_bisque4,GO:0032491,6.87E-07,0.999999972,7,15,detection of molecule of fungal origin,BP,8.67E-05,detection of molecule of fungal origin,The series of events in which a stimulus from a molecule of fungal origin is received and converted into a molecular signal.
leaf.voom5.module.signedhybrid_bisque4,GO:0033356,1.06E-06,0.999999967,6,13,UDP-L-arabinose metabolic process,BP,1.30E-04,UDP-L-arabinose metabolic process,"The chemical reactions and pathways involving UDP-L-arabinose, uridinediphosphoarabinose, a substance composed of arabinose in glycosidic linkage with uridine diphosphate."
leaf.voom5.module.signedhybrid_bisque4,GO:0031347,2.15E-06,0.99999965,13,95,regulation of defense response,BP,2.55E-04,regulation of defense response,"Any process that modulates the frequency, rate or extent of a defense response."
leaf.voom5.module.signedhybrid_bisque4,GO:0080142,2.98E-06,0.999999832,7,19,regulation of salicylic acid biosynthetic process,BP,3.43E-04,regulation of salicylic acid biosynthetic process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of salicylic acid."
leaf.voom5.module.signedhybrid_bisque4,GO:0006032,3.24E-06,0.999999737,8,35,chitin catabolic process,BP,3.61E-04,chitin catabolic process,"The chemical reactions and pathways resulting in the breakdown of chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues."
leaf.voom5.module.signedhybrid_bisque4,GO:0007165,3.37E-06,0.999998587,43,638,signal transduction,BP,3.65E-04,signal transduction,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
leaf.voom5.module.signedhybrid_bisque4,GO:0009611,4.71E-06,0.999998296,31,419,response to wounding,BP,4.95E-04,response to wounding,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism."
leaf.voom5.module.signedhybrid_bisque4,GO:0016310,4.97E-06,0.999997843,45,685,phosphorylation,BP,4.98E-04,phosphorylation,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
leaf.voom5.module.signedhybrid_bisque4,GO:1900457,4.99E-06,0.999999875,5,10,regulation of brassinosteroid mediated signaling pathway,BP,4.98E-04,regulation of brassinosteroid mediated signaling pathway,NA
leaf.voom5.module.signedhybrid_bisque4,GO:0019567,6.33E-06,0.999999956,4,5,arabinose biosynthetic process,BP,6.15E-04,arabinose biosynthetic process,"The chemical reactions and pathways resulting in the formation of arabinose, arabino-pentose."
leaf.voom5.module.signedhybrid_bisque4,GO:0006886,7.49E-06,0.999997319,29,428,intracellular protein transport,BP,7.10E-04,intracellular protein transport,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
leaf.voom5.module.signedhybrid_bisque4,GO:0010204,8.19E-06,0.999999071,9,48,"defense response signaling pathway, resistance gene-independent",BP,7.57E-04,"defense response signaling pathway, resistance gene-independent",A series of molecular signals that is activated during defense response and does not depend upon R-genes.
leaf.voom5.module.signedhybrid_bisque4,GO:0071669,8.61E-06,0.999999554,6,19,plant-type cell wall organization or biogenesis,BP,7.77E-04,plant-type cell wall organization or biogenesis,"A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellulose- and pectin-containing cell wall."
leaf.voom5.module.signedhybrid_bisque4,GO:0080151,1.21E-05,0.999999594,5,12,positive regulation of salicylic acid mediated signaling pathway,BP,0.001066321,positive regulation of salicylic acid mediated signaling pathway,"Any process that activates or increases the frequency, rate or extent of salicylic acid mediated signal transduction."
leaf.voom5.module.signedhybrid_bisque4,GO:0009306,1.25E-05,0.99999825,10,63,protein secretion,BP,0.001074996,protein secretion,The controlled release of proteins from a cell.
leaf.voom5.module.signedhybrid_bisque4,GO:0052033,1.49E-05,0.999999164,6,18,pathogen-associated molecular pattern dependent induction by symbiont of host innate immune response,BP,0.001251334,pathogen-associated molecular pattern dependent induction by symbiont of host innate immune response,"Any process that involves recognition of a pathogen-associated molecular pattern, and by which an organism activates, maintains or increases the frequency, rate or extent of the innate immune response of the host organism; the innate immune response is the host's first line of defense against infection. The host is defined as the larger of the organisms involved in a symbiotic interaction."
leaf.voom5.module.signedhybrid_bisque4,GO:0002238,1.96E-05,0.999997483,9,52,response to molecule of fungal origin,BP,0.001618221,response to molecule of fungal origin,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of fungal origin such as chito-octamer oligosaccharide."
leaf.voom5.module.signedhybrid_bisque4,GO:0018401,2.14E-05,0.99999866,6,21,peptidyl-proline hydroxylation to 4-hydroxy-L-proline,BP,0.001723984,peptidyl-proline hydroxylation to 4-hydroxy-L-proline,"The modification of peptidyl-proline to form 4-hydroxy-L-proline; catalyzed by procollagen-proline,2-oxoglutarate-4-dioxygenase."
leaf.voom5.module.signedhybrid_bisque4,GO:0002240,2.46E-05,0.999998485,6,18,response to molecule of oomycetes origin,BP,0.001940013,response to molecule of oomycetes origin,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of oomycetes origin."
leaf.voom5.module.signedhybrid_bisque4,GO:0006491,2.77E-05,0.999998226,6,19,N-glycan processing,BP,0.00214375,N-glycan processing,"The conversion of N-linked glycan (N = nitrogen) structures from the initially transferred oligosaccharide to a mature form, by the actions of glycosidases and glycosyltransferases. The early processing steps are conserved and play roles in glycoprotein folding and trafficking."
leaf.voom5.module.signedhybrid_bisque4,GO:0006620,3.26E-05,0.999998604,5,13,posttranslational protein targeting to endoplasmic reticulum membrane,BP,0.002468135,posttranslational protein targeting to endoplasmic reticulum membrane,"The targeting of proteins to a membrane that occurs after their translation. Some secretory proteins exhibit posttranslational transport into the endoplasmic reticulum (ER) lumen: they are synthesized in their entirety on free cytosolic ribosomes and then released into the cytosol, where they are bound by chaperones which keep them in an unfolded state, and subsequently are translocated across the ER membrane."
leaf.voom5.module.signedhybrid_bisque4,GO:0016998,3.74E-05,0.999995525,8,49,cell wall macromolecule catabolic process,BP,0.002776212,cell wall macromolecule catabolic process,The chemical reactions and pathways resulting in the breakdown of macromolecules that form part of a cell wall.
leaf.voom5.module.signedhybrid_bisque4,GO:0009992,5.64E-05,1,3,3,cellular water homeostasis,BP,0.004109449,cellular water homeostasis,Any process involved in the maintenance of an internal steady state of water within a cell.
leaf.voom5.module.signedhybrid_bisque4,GO:0009737,7.05E-05,0.999965143,45,832,response to abscisic acid,BP,0.005040701,response to abscisic acid,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abscisic acid stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0055074,8.94E-05,0.999997471,4,8,calcium ion homeostasis,BP,0.006273149,calcium ion homeostasis,Any process involved in the maintenance of an internal steady state of calcium ions within an organism or cell.
leaf.voom5.module.signedhybrid_bisque4,GO:0051091,9.51E-05,0.999996584,4,13,positive regulation of DNA-binding transcription factor activity,BP,0.006518995,positive regulation of DNA-binding transcription factor activity,"Any process that activates or increases the frequency, rate or extent of activity of a transcription factor, any factor involved in the initiation or regulation of transcription."
leaf.voom5.module.signedhybrid_bisque4,GO:0009817,9.63E-05,0.999980414,11,100,"defense response to fungus, incompatible interaction",BP,0.006518995,"defense response to fungus, incompatible interaction",A response of an organism to a fungus that prevents the occurrence or spread of disease.
leaf.voom5.module.signedhybrid_bisque4,GO:0009407,1.04E-04,0.999985193,8,67,toxin catabolic process,BP,0.006904013,toxin catabolic process,"The chemical reactions and pathways resulting in the breakdown of toxin, a poisonous compound (typically a protein) that is produced by cells or organisms and that can cause disease when introduced into the body or tissues of an organism."
leaf.voom5.module.signedhybrid_bisque4,GO:0006616,1.09E-04,0.999992984,5,23,"SRP-dependent cotranslational protein targeting to membrane, translocation",BP,0.007103156,"SRP-dependent cotranslational protein targeting to membrane, translocation","The process during cotranslational membrane targeting wherein proteins move across a membrane. SRP and its receptor initiate the transfer of the nascent chain across the endoplasmic reticulum (ER) membrane; they then dissociate from the chain, which is transferred to a set of transmembrane proteins, collectively called the translocon. Once the nascent chain translocon complex is assembled, the elongating chain passes directly from the large ribosomal subunit into the centers of the translocon, a protein-lined channel within the membrane. The growing chain is never exposed to the cytosol and does not fold until it reaches the ER lumen."
leaf.voom5.module.signedhybrid_bisque4,GO:2000031,1.27E-04,0.999984964,7,38,regulation of salicylic acid mediated signaling pathway,BP,0.008168002,regulation of salicylic acid mediated signaling pathway,"Any process that modulates the frequency, rate or extent of salicylic acid mediated signaling pathway."
leaf.voom5.module.signedhybrid_bisque4,GO:0051865,1.31E-04,0.999984457,7,39,protein autoubiquitination,BP,0.008241977,protein autoubiquitination,"The ubiquitination by a protein of one or more of its own amino acid residues, or residues on an identical protein. Ubiquitination occurs on the lysine residue by formation of an isopeptide crosslink."
leaf.voom5.module.signedhybrid_bisque4,GO:0030968,1.51E-04,0.999985574,6,30,endoplasmic reticulum unfolded protein response,BP,0.009358175,endoplasmic reticulum unfolded protein response,The series of molecular signals generated as a consequence of the presence of unfolded proteins in the endoplasmic reticulum (ER) or other ER-related stress; results in changes in the regulation of transcription and translation.
leaf.voom5.module.signedhybrid_bisque4,GO:0006457,1.87E-04,0.999923453,26,423,protein folding,BP,0.011280198,protein folding,The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure.
leaf.voom5.module.signedhybrid_bisque4,GO:0047484,1.88E-04,0.999986483,5,22,regulation of response to osmotic stress,BP,0.011280198,regulation of response to osmotic stress,Any process that modulates the rate or extent of the response to osmotic stress.
leaf.voom5.module.signedhybrid_bisque4,GO:0008643,1.94E-04,0.999953485,12,115,carbohydrate transport,BP,0.011508246,carbohydrate transport,"The directed movement of carbohydrate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Carbohydrates are any of a group of organic compounds based of the general formula Cx(H2O)y."
leaf.voom5.module.signedhybrid_bisque4,GO:0018279,2.11E-04,0.999991499,4,10,protein N-linked glycosylation via asparagine,BP,0.012016455,protein N-linked glycosylation via asparagine,"The glycosylation of protein via the N4 atom of peptidyl-asparagine forming N4-glycosyl-L-asparagine; the most common form is N-acetylglucosaminyl asparagine; N-acetylgalactosaminyl asparagine and N4 glucosyl asparagine also occur. This modification typically occurs in extracellular peptides with an N-X-(ST) motif. Partial modification has been observed to occur with cysteine, rather than serine or threonine, in the third position; secondary structure features are important, and proline in the second or fourth positions inhibits modification."
leaf.voom5.module.signedhybrid_bisque4,GO:0018345,2.11E-04,0.999996983,3,5,protein palmitoylation,BP,0.012016455,protein palmitoylation,The covalent attachment of a palmitoyl group to a protein.
leaf.voom5.module.signedhybrid_bisque4,GO:0031348,2.12E-04,0.999961952,9,64,negative regulation of defense response,BP,0.012016455,negative regulation of defense response,"Any process that stops, prevents, or reduces the frequency, rate or extent of a defense response."
leaf.voom5.module.signedhybrid_bisque4,GO:0010038,2.28E-04,0.999983295,5,19,response to metal ion,BP,0.012729672,response to metal ion,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a metal ion stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0009759,2.64E-04,0.999980117,5,19,indole glucosinolate biosynthetic process,BP,0.014471016,indole glucosinolate biosynthetic process,"The chemical reactions and pathways resulting in the formation of indole glucosinolates, sulfur-containing compounds that have a common structure linked to an R group derived from tryptophan."
leaf.voom5.module.signedhybrid_bisque4,GO:2000070,2.73E-04,0.999970365,6,34,regulation of response to water deprivation,BP,0.014751021,regulation of response to water deprivation,"Any process that modulates the frequency, rate or extent of response to water deprivation."
leaf.voom5.module.signedhybrid_bisque4,GO:0019762,3.44E-04,0.999942174,8,56,glucosinolate catabolic process,BP,0.018334381,glucosinolate catabolic process,"The chemical reactions and pathways resulting in the breakdown of glucosinolates, substituted thioglucosides found in rapeseed products and related cruciferae."
leaf.voom5.module.signedhybrid_bisque4,GO:0009409,3.48E-04,0.99982864,36,696,response to cold,BP,0.018334381,response to cold,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism."
leaf.voom5.module.signedhybrid_bisque4,GO:0019438,3.83E-04,0.999955782,6,33,aromatic compound biosynthetic process,BP,0.019862292,aromatic compound biosynthetic process,"The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring."
leaf.voom5.module.signedhybrid_bisque4,GO:0002679,4.08E-04,0.999979571,4,11,respiratory burst involved in defense response,BP,0.02091579,respiratory burst involved in defense response,"A phase of elevated metabolic activity, during which oxygen consumption increases made as part of a defense response ; this leads to the production, by an NADH dependent system, of hydrogen peroxide (H2O2), superoxide anions and hydroxyl radicals."
leaf.voom5.module.signedhybrid_bisque4,GO:0072334,4.27E-04,0.99997716,4,13,UDP-galactose transmembrane transport,BP,0.021573002,UDP-galactose transmembrane transport,The process in which UDP-galactose is transported across a membrane.
leaf.voom5.module.signedhybrid_bisque4,GO:0010104,4.98E-04,0.99997043,4,17,regulation of ethylene-activated signaling pathway,BP,0.024819778,regulation of ethylene-activated signaling pathway,"Any process that modulates the frequency, rate or extent of ethylene (ethene) signal transduction."
leaf.voom5.module.signedhybrid_bisque4,GO:0051707,5.23E-04,0.99988047,10,97,response to other organism,BP,0.025711935,response to other organism,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."
leaf.voom5.module.signedhybrid_bisque4,GO:0009311,5.48E-04,0.999989119,3,5,oligosaccharide metabolic process,BP,0.026521274,oligosaccharide metabolic process,"The chemical reactions and pathways involving oligosaccharides, molecules with between two and (about) 20 monosaccharide residues connected by glycosidic linkages."
leaf.voom5.module.signedhybrid_bisque4,GO:0010555,5.53E-04,0.999915512,7,42,response to mannitol,BP,0.026521274,response to mannitol,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a mannitol stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0052541,5.81E-04,0.99996706,4,12,plant-type cell wall cellulose metabolic process,BP,0.027516319,plant-type cell wall cellulose metabolic process,"The chemical reactions and pathways involving cellulose, a linear beta1-4 glucan of molecular mass 50-400 kDa with the pyranose units in the -4C1 conformation, as part of the organization and biogenesis of the cell wall."
leaf.voom5.module.signedhybrid_bisque4,GO:0009615,6.37E-04,0.999864867,9,82,response to virus,BP,0.029814444,response to virus,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a virus."
leaf.voom5.module.signedhybrid_bisque4,GO:0009225,6.58E-04,0.999894696,7,50,nucleotide-sugar metabolic process,BP,0.030419218,nucleotide-sugar metabolic process,"The cellular chemical reactions and pathways involving nucleotide-sugars, any nucleotide-carbohydrate in which the distal phosphoric residue of a nucleoside 5'-diphosphate is in glycosidic linkage with a monosaccharide or monosaccharide derivative."
leaf.voom5.module.signedhybrid_bisque4,GO:0000302,6.77E-04,0.999853954,9,96,response to reactive oxygen species,BP,0.030923448,response to reactive oxygen species,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a reactive oxygen species stimulus. Reactive oxygen species include singlet oxygen, superoxide, and oxygen free radicals."
leaf.voom5.module.signedhybrid_bisque4,GO:0009864,7.01E-04,0.999930996,5,25,"induced systemic resistance, jasmonic acid mediated signaling pathway",BP,0.031630086,"induced systemic resistance, jasmonic acid mediated signaling pathway",The series of molecular signals mediated by jasmonic acid involved in induced systemic resistance.
leaf.voom5.module.signedhybrid_bisque4,GO:0016192,7.23E-04,0.999750894,16,244,vesicle-mediated transport,BP,0.03221254,vesicle-mediated transport,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."
leaf.voom5.module.signedhybrid_bisque4,GO:0072722,7.56E-04,1,2,2,response to amitrole,BP,0.033291314,response to amitrole,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an amitrole stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0034605,7.83E-04,0.999794393,11,117,cellular response to heat,BP,0.034101586,cellular response to heat,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."
leaf.voom5.module.signedhybrid_bisque4,GO:0000272,8.93E-04,0.999876318,6,39,polysaccharide catabolic process,BP,0.038112668,polysaccharide catabolic process,"The chemical reactions and pathways resulting in the breakdown of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."
leaf.voom5.module.signedhybrid_bisque4,GO:0006487,8.95E-04,0.999823646,8,66,protein N-linked glycosylation,BP,0.038112668,protein N-linked glycosylation,"A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the N4 atom of peptidyl-asparagine, the omega-N of arginine, or the N1' atom peptidyl-tryptophan."
leaf.voom5.module.signedhybrid_bisque4,GO:0031349,0.001010117,0.999931799,4,13,positive regulation of defense response,BP,0.042525917,positive regulation of defense response,"Any process that activates or increases the frequency, rate or extent of a defense response."
leaf.voom5.module.signedhybrid_bisque4,GO:0043069,0.001059555,0.999882886,5,30,negative regulation of programmed cell death,BP,0.044117076,negative regulation of programmed cell death,"Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."
leaf.voom5.module.signedhybrid_bisque4,GO:0006527,0.001161129,0.999960701,3,7,arginine catabolic process,BP,0.047667469,arginine catabolic process,"The chemical reactions and pathways resulting in the breakdown of arginine, 2-amino-5-(carbamimidamido)pentanoic acid."
leaf.voom5.module.signedhybrid_bisque4,GO:0006024,0.001182566,0.999959716,3,7,glycosaminoglycan biosynthetic process,BP,0.047667469,glycosaminoglycan biosynthetic process,"The chemical reactions and pathways resulting in the formation of glycosaminoglycans, any of a group of polysaccharides that contain amino sugars."
leaf.voom5.module.signedhybrid_bisque4,GO:0006065,0.001182566,0.999959716,3,7,UDP-glucuronate biosynthetic process,BP,0.047667469,UDP-glucuronate biosynthetic process,"The chemical reactions and pathways resulting in the formation of UDP-glucuronate, a substance composed of glucuronic acid in glycosidic linkage with uridine diphosphate."
leaf.voom5.module.signedhybrid_bisque4,GO:0006749,0.001208599,0.999746872,8,85,glutathione metabolic process,BP,0.048204027,glutathione metabolic process,"The chemical reactions and pathways involving glutathione, the tripeptide glutamylcysteinylglycine, which acts as a coenzyme for some enzymes and as an antioxidant in the protection of sulfhydryl groups in enzymes and other proteins; it has a specific role in the reduction of hydrogen peroxide (H2O2) and oxidized ascorbate, and it participates in the gamma-glutamyl cycle."
leaf.voom5.module.signedhybrid_brown,GO:0006412,0,1,325,715,translation,BP,0,translation,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
leaf.voom5.module.signedhybrid_brown,GO:0042254,1.08E-96,1,101,236,ribosome biogenesis,BP,2.05E-93,ribosome biogenesis,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."
