name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_padjust,Term,Definition
leaf.voom5.module.signedhybrid_bisque4,GO:0046777,4.1410129185456264e-12,1,42,363,protein autophosphorylation,BP,1.5690297948369378e-9,protein autophosphorylation,"The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation)."
leaf.voom5.module.signedhybrid_bisque4,GO:0009651,1.4779011636653608e-11,1,72,1045,response to salt stress,BP,5.090697735570956e-9,response to salt stress,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
leaf.voom5.module.signedhybrid_bisque4,GO:0006979,2.232951120008481e-11,1,44,502,response to oxidative stress,BP,7.0505431614267786e-9,response to oxidative stress,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."
leaf.voom5.module.signedhybrid_bisque4,GO:0002237,2.5501504158998733e-11,1,19,88,response to molecule of bacterial origin,BP,7.432707635265092e-9,response to molecule of bacterial origin,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin."
leaf.voom5.module.signedhybrid_bisque4,GO:0009682,1.9271212828074426e-10,0.9999999999903779,12,33,induced systemic resistance,BP,5.2156161003981434e-8,induced systemic resistance,A response to non-pathogenic bacteria that confers broad spectrum systemic resistance to disease that does not depend upon salicylic acid signaling.
leaf.voom5.module.signedhybrid_bisque4,GO:0010120,2.446545951578764e-10,0.999999999989885,11,27,camalexin biosynthetic process,BP,6.179975073687957e-8,camalexin biosynthetic process,"The chemical reactions and pathways resulting in the formation of camalexin, an indole phytoalexin."
leaf.voom5.module.signedhybrid_bisque4,GO:0010150,4.825843743725766e-10,1,27,219,leaf senescence,BP,1.142820121561058e-7,leaf senescence,"The process that occurs in a leaf near the end of its active life that is associated with the dismantling of cell components and membranes, loss of functional chloroplasts, and an overall decline in metabolism."
leaf.voom5.module.signedhybrid_bisque4,GO:0002229,2.1629401303555424e-9,0.9999999996480786,21,126,defense response to oomycetes,BP,4.820811855245382e-7,defense response to oomycetes,Reactions triggered in response to the presence of oomycetes that act to protect the cell or organism.
leaf.voom5.module.signedhybrid_bisque4,GO:0009620,3.4006715025836714e-9,0.9999999993983226,22,150,response to fungus,BP,7.158413512938628e-7,response to fungus,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a fungus."
leaf.voom5.module.signedhybrid_bisque4,GO:0048544,3.6682263023775486e-9,0.9999999995686834,16,72,recognition of pollen,BP,7.315215505109754e-7,recognition of pollen,"The process, involving the sharing and interaction of the single locus incompatibility haplotypes, involved in the recognition or rejection of the self pollen by cells in the stigma. This process ensures out-breeding in certain plant species."
leaf.voom5.module.signedhybrid_bisque4,GO:0034976,7.74462174331138e-8,0.9999999921244397,12,55,response to endoplasmic reticulum stress,BP,1.467218589270341e-5,response to endoplasmic reticulum stress,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stress acting at the endoplasmic reticulum. ER stress usually results from the accumulation of unfolded or misfolded proteins in the ER lumen."
leaf.voom5.module.signedhybrid_bisque4,GO:0050691,1.145084936411967e-7,0.9999999994405249,5,6,regulation of defense response to virus by host,BP,2.0660603924118775e-5,regulation of defense response to virus by host,"Any host process that modulates the frequency, rate, or extent of the antiviral response of a host cell or organism."
leaf.voom5.module.signedhybrid_bisque4,GO:0009626,1.2722627041948254e-7,0.9999999751141797,19,140,plant-type hypersensitive response,BP,2.191183357360997e-5,plant-type hypersensitive response,"The rapid, localized death of plant cells in response to invasion by a pathogen."
leaf.voom5.module.signedhybrid_bisque4,GO:0010112,1.4684633518239149e-7,0.9999999929972705,8,22,regulation of systemic acquired resistance,BP,2.4191337565481795e-5,regulation of systemic acquired resistance,"Any process that modulates the frequency, rate or extent of systemic acquired resistance."
leaf.voom5.module.signedhybrid_bisque4,GO:2000022,2.2921858972607595e-7,0.9999999670754548,14,89,regulation of jasmonic acid mediated signaling pathway,BP,3.618788485300424e-5,regulation of jasmonic acid mediated signaling pathway,"Any process that modulates the frequency, rate or extent of jasmonic acid mediated signaling pathway."
leaf.voom5.module.signedhybrid_bisque4,GO:0010193,3.4459619885133675e-7,0.999999963948529,11,54,response to ozone,BP,5.1345968392387395e-5,response to ozone,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ozone stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0010942,3.523344360522756e-7,0.9999999867502343,7,16,positive regulation of cell death,BP,5.1345968392387395e-5,positive regulation of cell death,"Any process that increases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."
leaf.voom5.module.signedhybrid_bisque4,GO:0009862,3.922773234466791e-7,0.9999999780405856,8,24,"systemic acquired resistance, salicylic acid mediated signaling pathway",BP,5.504958439035064e-5,"systemic acquired resistance, salicylic acid mediated signaling pathway",The series of molecular signals mediated by salicylic acid involved in systemic acquired resistance.
leaf.voom5.module.signedhybrid_bisque4,GO:0060862,5.150329323948191e-7,0.9999999867456825,6,12,negative regulation of floral organ abscission,BP,6.969499217299891e-5,negative regulation of floral organ abscission,"Any process that decreases the rate, frequency, or extent of floral organ abscission, the controlled shedding of floral organs."
leaf.voom5.module.signedhybrid_bisque4,GO:1900056,6.079105047054844e-7,0.9999999630753369,8,26,negative regulation of leaf senescence,BP,7.942665180445107e-5,negative regulation of leaf senescence,NA
leaf.voom5.module.signedhybrid_bisque4,GO:0032491,6.867697542572683e-7,0.9999999723597385,7,15,detection of molecule of fungal origin,BP,8.673901996269298e-5,detection of molecule of fungal origin,The series of events in which a stimulus from a molecule of fungal origin is received and converted into a molecular signal.
leaf.voom5.module.signedhybrid_bisque4,GO:0033356,1.0638560695293065e-6,0.9999999673280223,6,13,UDP-L-arabinose metabolic process,BP,1.3003066604666265e-4,UDP-L-arabinose metabolic process,"The chemical reactions and pathways involving UDP-L-arabinose, uridinediphosphoarabinose, a substance composed of arabinose in glycosidic linkage with uridine diphosphate."
leaf.voom5.module.signedhybrid_bisque4,GO:0031347,2.154310727648501e-6,0.9999996504705597,13,95,regulation of defense response,BP,2.5508385459563034e-4,regulation of defense response,"Any process that modulates the frequency, rate or extent of a defense response."
leaf.voom5.module.signedhybrid_bisque4,GO:0080142,2.9844626832355427e-6,0.9999998324396369,7,19,regulation of salicylic acid biosynthetic process,BP,3.426705789933173e-4,regulation of salicylic acid biosynthetic process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of salicylic acid."
leaf.voom5.module.signedhybrid_bisque4,GO:0006032,3.2361382489120818e-6,0.9999997370594738,8,35,chitin catabolic process,BP,3.606390536802317e-4,chitin catabolic process,"The chemical reactions and pathways resulting in the breakdown of chitin, a linear polysaccharide consisting of beta-(1->4)-linked N-acetyl-D-glucosamine residues."
leaf.voom5.module.signedhybrid_bisque4,GO:0007165,3.37407088716099e-6,0.999998587073307,43,638,signal transduction,BP,3.65267274041514e-4,signal transduction,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
leaf.voom5.module.signedhybrid_bisque4,GO:0009611,4.706415745881924e-6,0.999998295558412,31,419,response to wounding,BP,4.953502572540725e-4,response to wounding,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism."
leaf.voom5.module.signedhybrid_bisque4,GO:0016310,4.971752233894781e-6,0.9999978431073778,45,685,phosphorylation,BP,4.976013776496795e-4,phosphorylation,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
leaf.voom5.module.signedhybrid_bisque4,GO:1900457,4.990459844467622e-6,0.9999998747969038,5,10,regulation of brassinosteroid mediated signaling pathway,BP,4.976013776496795e-4,regulation of brassinosteroid mediated signaling pathway,NA
leaf.voom5.module.signedhybrid_bisque4,GO:0019567,6.3265691924129935e-6,0.9999999561717499,4,5,arabinose biosynthetic process,BP,6.146505300013548e-4,arabinose biosynthetic process,"The chemical reactions and pathways resulting in the formation of arabinose, arabino-pentose."
leaf.voom5.module.signedhybrid_bisque4,GO:0006886,7.4911720421163895e-6,0.99999731887831,29,428,intracellular protein transport,BP,7.09601271689475e-4,intracellular protein transport,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
leaf.voom5.module.signedhybrid_bisque4,GO:0010204,8.18903838467759e-6,0.9999990706740153,9,48,"defense response signaling pathway, resistance gene-independent",BP,7.567869863303266e-4,"defense response signaling pathway, resistance gene-independent",A series of molecular signals that is activated during defense response and does not depend upon R-genes.
leaf.voom5.module.signedhybrid_bisque4,GO:0071669,8.613801322198841e-6,0.9999995535136398,6,19,plant-type cell wall organization or biogenesis,BP,7.770879335669383e-4,plant-type cell wall organization or biogenesis,"A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellulose- and pectin-containing cell wall."
leaf.voom5.module.signedhybrid_bisque4,GO:0080151,1.2101292610311679e-5,0.9999995939871842,5,12,positive regulation of salicylic acid mediated signaling pathway,BP,0.0010663208767551385,positive regulation of salicylic acid mediated signaling pathway,"Any process that activates or increases the frequency, rate or extent of salicylic acid mediated signal transduction."
leaf.voom5.module.signedhybrid_bisque4,GO:0009306,1.2483455174857797e-5,0.9999982500554416,10,63,protein secretion,BP,0.001074995719489459,protein secretion,The controlled release of proteins from a cell.
leaf.voom5.module.signedhybrid_bisque4,GO:0052033,1.486145004934108e-5,0.9999991638079089,6,18,pathogen-associated molecular pattern dependent induction by symbiont of host innate immune response,BP,0.001251334094154519,pathogen-associated molecular pattern dependent induction by symbiont of host innate immune response,"Any process that involves recognition of a pathogen-associated molecular pattern, and by which an organism activates, maintains or increases the frequency, rate or extent of the innate immune response of the host organism; the innate immune response is the host's first line of defense against infection. The host is defined as the larger of the organisms involved in a symbiotic interaction."
leaf.voom5.module.signedhybrid_bisque4,GO:0002238,1.9645857333228515e-5,0.9999974830385467,9,52,response to molecule of fungal origin,BP,0.0016182207268609311,response to molecule of fungal origin,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of fungal origin such as chito-octamer oligosaccharide."
leaf.voom5.module.signedhybrid_bisque4,GO:0018401,2.138485874558213e-5,0.9999986601359474,6,21,peptidyl-proline hydroxylation to 4-hydroxy-L-proline,BP,0.0017239836124895893,peptidyl-proline hydroxylation to 4-hydroxy-L-proline,"The modification of peptidyl-proline to form 4-hydroxy-L-proline; catalyzed by procollagen-proline,2-oxoglutarate-4-dioxygenase."
leaf.voom5.module.signedhybrid_bisque4,GO:0002240,2.457656740957005e-5,0.9999984853388978,6,18,response to molecule of oomycetes origin,BP,0.0019400127898929359,response to molecule of oomycetes origin,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of oomycetes origin."
leaf.voom5.module.signedhybrid_bisque4,GO:0006491,2.7723344696728638e-5,0.9999982257967844,6,19,N-glycan processing,BP,0.0021437500623654043,N-glycan processing,"The conversion of N-linked glycan (N = nitrogen) structures from the initially transferred oligosaccharide to a mature form, by the actions of glycosidases and glycosyltransferases. The early processing steps are conserved and play roles in glycoprotein folding and trafficking."
leaf.voom5.module.signedhybrid_bisque4,GO:0006620,3.2569739224890616e-5,0.9999986036718377,5,13,posttranslational protein targeting to endoplasmic reticulum membrane,BP,0.002468134838462211,posttranslational protein targeting to endoplasmic reticulum membrane,"The targeting of proteins to a membrane that occurs after their translation. Some secretory proteins exhibit posttranslational transport into the endoplasmic reticulum (ER) lumen: they are synthesized in their entirety on free cytosolic ribosomes and then released into the cytosol, where they are bound by chaperones which keep them in an unfolded state, and subsequently are translocated across the ER membrane."
leaf.voom5.module.signedhybrid_bisque4,GO:0016998,3.73678592952803e-5,0.9999955245896721,8,49,cell wall macromolecule catabolic process,BP,0.0027762121347022954,cell wall macromolecule catabolic process,The chemical reactions and pathways resulting in the breakdown of macromolecules that form part of a cell wall.
leaf.voom5.module.signedhybrid_bisque4,GO:0009992,5.639782198225921e-5,1,3,3,cellular water homeostasis,BP,0.00410944899020731,cellular water homeostasis,Any process involved in the maintenance of an internal steady state of water within a cell.
leaf.voom5.module.signedhybrid_bisque4,GO:0009737,7.050861899882573e-5,0.9999651427340659,45,832,response to abscisic acid,BP,0.005040701082765107,response to abscisic acid,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abscisic acid stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0055074,8.940354960593685e-5,0.9999974712516476,4,8,calcium ion homeostasis,BP,0.006273149064016569,calcium ion homeostasis,Any process involved in the maintenance of an internal steady state of calcium ions within an organism or cell.
leaf.voom5.module.signedhybrid_bisque4,GO:0051091,9.506607197395706e-5,0.9999965844269916,4,13,positive regulation of DNA-binding transcription factor activity,BP,0.006518994757159017,positive regulation of DNA-binding transcription factor activity,"Any process that activates or increases the frequency, rate or extent of activity of a transcription factor, any factor involved in the initiation or regulation of transcription."
leaf.voom5.module.signedhybrid_bisque4,GO:0009817,9.63482993932185e-5,0.9999804143312586,11,100,"defense response to fungus, incompatible interaction",BP,0.006518994757159017,"defense response to fungus, incompatible interaction",A response of an organism to a fungus that prevents the occurrence or spread of disease.
leaf.voom5.module.signedhybrid_bisque4,GO:0009407,1.0386084817104693e-4,0.999985193037755,8,67,toxin catabolic process,BP,0.006904013223159593,toxin catabolic process,"The chemical reactions and pathways resulting in the breakdown of toxin, a poisonous compound (typically a protein) that is produced by cells or organisms and that can cause disease when introduced into the body or tissues of an organism."
leaf.voom5.module.signedhybrid_bisque4,GO:0006616,1.0873133347956716e-4,0.9999929836606013,5,23,"SRP-dependent cotranslational protein targeting to membrane, translocation",BP,0.007103155561277242,"SRP-dependent cotranslational protein targeting to membrane, translocation","The process during cotranslational membrane targeting wherein proteins move across a membrane. SRP and its receptor initiate the transfer of the nascent chain across the endoplasmic reticulum (ER) membrane; they then dissociate from the chain, which is transferred to a set of transmembrane proteins, collectively called the translocon. Once the nascent chain translocon complex is assembled, the elongating chain passes directly from the large ribosomal subunit into the centers of the translocon, a protein-lined channel within the membrane. The growing chain is never exposed to the cytosol and does not fold until it reaches the ER lumen."
leaf.voom5.module.signedhybrid_bisque4,GO:2000031,1.271871545094284e-4,0.9999849640523817,7,38,regulation of salicylic acid mediated signaling pathway,BP,0.008168002176885156,regulation of salicylic acid mediated signaling pathway,"Any process that modulates the frequency, rate or extent of salicylic acid mediated signaling pathway."
leaf.voom5.module.signedhybrid_bisque4,GO:0051865,1.3051428274103244e-4,0.9999844571849532,7,39,protein autoubiquitination,BP,0.008241976955096198,protein autoubiquitination,"The ubiquitination by a protein of one or more of its own amino acid residues, or residues on an identical protein. Ubiquitination occurs on the lysine residue by formation of an isopeptide crosslink."
leaf.voom5.module.signedhybrid_bisque4,GO:0030968,1.506594473918593e-4,0.9999855742150529,6,30,endoplasmic reticulum unfolded protein response,BP,0.009358174527340245,endoplasmic reticulum unfolded protein response,The series of molecular signals generated as a consequence of the presence of unfolded proteins in the endoplasmic reticulum (ER) or other ER-related stress; results in changes in the regulation of transcription and translation.
leaf.voom5.module.signedhybrid_bisque4,GO:0006457,1.8729216339830493e-4,0.9999234527310865,26,423,protein folding,BP,0.011280198309068576,protein folding,The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure.
leaf.voom5.module.signedhybrid_bisque4,GO:0047484,1.875567414809502e-4,0.9999864828448622,5,22,regulation of response to osmotic stress,BP,0.011280198309068576,regulation of response to osmotic stress,Any process that modulates the rate or extent of the response to osmotic stress.
leaf.voom5.module.signedhybrid_bisque4,GO:0008643,1.9438577919460341e-4,0.999953485274511,12,115,carbohydrate transport,BP,0.011508245583880505,carbohydrate transport,"The directed movement of carbohydrate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Carbohydrates are any of a group of organic compounds based of the general formula Cx(H2O)y."
leaf.voom5.module.signedhybrid_bisque4,GO:0018279,2.109714194887717e-4,0.9999914989437219,4,10,protein N-linked glycosylation via asparagine,BP,0.012016454961688341,protein N-linked glycosylation via asparagine,"The glycosylation of protein via the N4 atom of peptidyl-asparagine forming N4-glycosyl-L-asparagine; the most common form is N-acetylglucosaminyl asparagine; N-acetylgalactosaminyl asparagine and N4 glucosyl asparagine also occur. This modification typically occurs in extracellular peptides with an N-X-(ST) motif. Partial modification has been observed to occur with cysteine, rather than serine or threonine, in the third position; secondary structure features are important, and proline in the second or fourth positions inhibits modification."
leaf.voom5.module.signedhybrid_bisque4,GO:0018345,2.1132869640561115e-4,0.9999969825513272,3,5,protein palmitoylation,BP,0.012016454961688341,protein palmitoylation,The covalent attachment of a palmitoyl group to a protein.
leaf.voom5.module.signedhybrid_bisque4,GO:0031348,2.124841600509683e-4,0.9999619518230278,9,64,negative regulation of defense response,BP,0.012016454961688341,negative regulation of defense response,"Any process that stops, prevents, or reduces the frequency, rate or extent of a defense response."
leaf.voom5.module.signedhybrid_bisque4,GO:0010038,2.2845545306300453e-4,0.9999832951574584,5,19,response to metal ion,BP,0.012729672230231238,response to metal ion,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a metal ion stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0009759,2.635260208014943e-4,0.9999801173658928,5,19,indole glucosinolate biosynthetic process,BP,0.014471015837925535,indole glucosinolate biosynthetic process,"The chemical reactions and pathways resulting in the formation of indole glucosinolates, sulfur-containing compounds that have a common structure linked to an R group derived from tryptophan."
leaf.voom5.module.signedhybrid_bisque4,GO:2000070,2.7251819549695583e-4,0.9999703646808549,6,34,regulation of response to water deprivation,BP,0.014751020610542365,regulation of response to water deprivation,"Any process that modulates the frequency, rate or extent of response to water deprivation."
leaf.voom5.module.signedhybrid_bisque4,GO:0019762,3.4408773545752775e-4,0.9999421742455187,8,56,glucosinolate catabolic process,BP,0.018334381411331157,glucosinolate catabolic process,"The chemical reactions and pathways resulting in the breakdown of glucosinolates, substituted thioglucosides found in rapeseed products and related cruciferae."
leaf.voom5.module.signedhybrid_bisque4,GO:0009409,3.4839679641484385e-4,0.9998286396140493,36,696,response to cold,BP,0.018334381411331157,response to cold,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism."
leaf.voom5.module.signedhybrid_bisque4,GO:0019438,3.826728163068834e-4,0.9999557820833018,6,33,aromatic compound biosynthetic process,BP,0.01986229179433947,aromatic compound biosynthetic process,"The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring."
leaf.voom5.module.signedhybrid_bisque4,GO:0002679,4.084899531674914e-4,0.9999795706607275,4,11,respiratory burst involved in defense response,BP,0.02091578962907601,respiratory burst involved in defense response,"A phase of elevated metabolic activity, during which oxygen consumption increases made as part of a defense response ; this leads to the production, by an NADH dependent system, of hydrogen peroxide (H2O2), superoxide anions and hydroxyl radicals."
leaf.voom5.module.signedhybrid_bisque4,GO:0072334,4.270190506684448e-4,0.9999771601933173,4,13,UDP-galactose transmembrane transport,BP,0.021573002439769833,UDP-galactose transmembrane transport,The process in which UDP-galactose is transported across a membrane.
leaf.voom5.module.signedhybrid_bisque4,GO:0010104,4.978366572983555e-4,0.9999704298453789,4,17,regulation of ethylene-activated signaling pathway,BP,0.02481977755925617,regulation of ethylene-activated signaling pathway,"Any process that modulates the frequency, rate or extent of ethylene (ethene) signal transduction."
leaf.voom5.module.signedhybrid_bisque4,GO:0051707,5.225175438093531e-4,0.9998804701164179,10,97,response to other organism,BP,0.025711934720696612,response to other organism,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."
leaf.voom5.module.signedhybrid_bisque4,GO:0009311,5.475931398750683e-4,0.9999891189668273,3,5,oligosaccharide metabolic process,BP,0.026521274276807245,oligosaccharide metabolic process,"The chemical reactions and pathways involving oligosaccharides, molecules with between two and (about) 20 monosaccharide residues connected by glycosidic linkages."
leaf.voom5.module.signedhybrid_bisque4,GO:0010555,5.529640189674775e-4,0.9999155124387962,7,42,response to mannitol,BP,0.026521274276807245,response to mannitol,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a mannitol stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0052541,5.809726930949967e-4,0.999967059803421,4,12,plant-type cell wall cellulose metabolic process,BP,0.027516319176711778,plant-type cell wall cellulose metabolic process,"The chemical reactions and pathways involving cellulose, a linear beta1-4 glucan of molecular mass 50-400 kDa with the pyranose units in the -4C1 conformation, as part of the organization and biogenesis of the cell wall."
leaf.voom5.module.signedhybrid_bisque4,GO:0009615,6.373634079495324e-4,0.9998648666108226,9,82,response to virus,BP,0.02981444386075035,response to virus,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a virus."
leaf.voom5.module.signedhybrid_bisque4,GO:0009225,6.583203781505653e-4,0.99989469617214,7,50,nucleotide-sugar metabolic process,BP,0.030419218448932833,nucleotide-sugar metabolic process,"The cellular chemical reactions and pathways involving nucleotide-sugars, any nucleotide-carbohydrate in which the distal phosphoric residue of a nucleoside 5'-diphosphate is in glycosidic linkage with a monosaccharide or monosaccharide derivative."
leaf.voom5.module.signedhybrid_bisque4,GO:0000302,6.773940870987026e-4,0.9998539535762362,9,96,response to reactive oxygen species,BP,0.03092344814478294,response to reactive oxygen species,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a reactive oxygen species stimulus. Reactive oxygen species include singlet oxygen, superoxide, and oxygen free radicals."
leaf.voom5.module.signedhybrid_bisque4,GO:0009864,7.01221217406413e-4,0.9999309959391028,5,25,"induced systemic resistance, jasmonic acid mediated signaling pathway",BP,0.0316300856280107,"induced systemic resistance, jasmonic acid mediated signaling pathway",The series of molecular signals mediated by jasmonic acid involved in induced systemic resistance.
leaf.voom5.module.signedhybrid_bisque4,GO:0016192,7.226355050688626e-4,0.9997508942636205,16,244,vesicle-mediated transport,BP,0.032212540337716714,vesicle-mediated transport,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."
leaf.voom5.module.signedhybrid_bisque4,GO:0072722,7.556223361430202e-4,1,2,2,response to amitrole,BP,0.033291314321464,response to amitrole,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an amitrole stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0034605,7.830134636124047e-4,0.9997943928060768,11,117,cellular response to heat,BP,0.034101586363533345,cellular response to heat,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."
leaf.voom5.module.signedhybrid_bisque4,GO:0000272,8.930600251768931e-4,0.9998763178653779,6,39,polysaccharide catabolic process,BP,0.03811266817818928,polysaccharide catabolic process,"The chemical reactions and pathways resulting in the breakdown of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."
leaf.voom5.module.signedhybrid_bisque4,GO:0006487,8.952302633567816e-4,0.9998236460187842,8,66,protein N-linked glycosylation,BP,0.03811266817818928,protein N-linked glycosylation,"A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the N4 atom of peptidyl-asparagine, the omega-N of arginine, or the N1' atom peptidyl-tryptophan."
leaf.voom5.module.signedhybrid_bisque4,GO:0031349,0.0010101168000199434,0.9999317992250343,4,13,positive regulation of defense response,BP,0.04252591728083962,positive regulation of defense response,"Any process that activates or increases the frequency, rate or extent of a defense response."
leaf.voom5.module.signedhybrid_bisque4,GO:0043069,0.0010595550075123623,0.9998828860954254,5,30,negative regulation of programmed cell death,BP,0.04411707608202572,negative regulation of programmed cell death,"Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."
