sample,location,tissue,genotype,block,pot,bench,col,row,data_type,trt,time_point,group
wyo_root_FPsc_12_523,wyo,root,FPsc,12,523,3,4,7,RNAseq,5E_live,wk2,root_FPsc_5E_live
wyo_root_R500_02_055,wyo,root,R500,2,55,1,3,5,RNAseq,5E_live,wk2,root_R500_5E_live
wyo_root_R500_02_059,wyo,root,R500,2,59,1,3,1,RNAseq,5E_dead,wk2,root_R500_5E_dead
wyo_root_R500_02_082,wyo,root,R500,2,82,1,4,6,RNAseq,BLANK_NA,wk2,root_R500_BLANK_NA
wyo_root_R500_04_153,wyo,root,R500,4,153,1,5,5,RNAseq,BLANK_NA,wk2,root_R500_BLANK_NA
wyo_root_R500_04_154,wyo,root,R500,4,154,1,5,4,RNAseq,5E_dead,wk2,root_R500_5E_dead
wyo_root_R500_04_162,wyo,root,R500,4,162,1,2,6,RNAseq,5E_live,wk2,root_R500_5E_live
wyo_root_R500_05_179,wyo,root,R500,5,179,2,1,3,RNAseq,5E_dead,wk2,root_R500_5E_dead
wyo_root_R500_05_202,wyo,root,R500,5,202,2,1,6,RNAseq,BLANK_NA,wk2,root_R500_BLANK_NA
wyo_root_R500_05_213,wyo,root,R500,5,213,2,3,9,RNAseq,5E_live,wk2,root_R500_5E_live
wyo_root_R500_07_266,wyo,root,R500,7,266,2,1,4,RNAseq,5E_live,wk2,root_R500_5E_live
wyo_root_R500_07_269,wyo,root,R500,7,269,2,1,1,RNAseq,5E_dead,wk2,root_R500_5E_dead
wyo_root_R500_07_278,wyo,root,R500,7,278,2,3,2,RNAseq,BLANK_NA,wk2,root_R500_BLANK_NA
wyo_root_R500_10_406,wyo,root,R500,10,406,3,2,1,RNAseq,5E_live,wk2,root_R500_5E_live
wyo_root_R500_10_424,wyo,root,R500,10,424,3,1,8,RNAseq,BLANK_NA,wk2,root_R500_BLANK_NA
wyo_root_R500_10_432,wyo,root,R500,10,432,3,3,8,RNAseq,5E_dead,wk2,root_R500_5E_dead
wyo_root_R500_12_485,wyo,root,R500,12,485,3,1,5,RNAseq,5E_live,wk2,root_R500_5E_live
wyo_root_R500_12_504,wyo,root,R500,12,504,3,4,1,RNAseq,5E_dead,wk2,root_R500_5E_dead
wyo_root_R500_12_513,wyo,root,R500,12,513,3,1,9,RNAseq,BLANK_NA,wk2,root_R500_BLANK_NA
