Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [OrganismPart]	Characteristics [DevelopmentalStage]	Characteristics [Ecotype]	Characteristics [Organism]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[TREATMENT]
34-2_SAMPLE190363SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	34-2_SAMPLE190363SUB2686	P-MEXP-30021	E_34-2_SAMPLE190363SUB2686	total_RNA	P-MEXP-30023	L_34-2_SAMPLE190363SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_34-2_SAMPLE190363SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_34-2_SAMPLE190363SUB2686	LL34-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	5 mM nitrate; 0 mM sucrose
33-24_SAMPLE190361SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	33-24_SAMPLE190361SUB2686	P-MEXP-30021	E_33-24_SAMPLE190361SUB2686	total_RNA	P-MEXP-30023	L_33-24_SAMPLE190361SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_33-24_SAMPLE190361SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_33-24_SAMPLE190361SUB2686	LL33-24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	15 mM nitrate; 30 mM sucrose
34-12_SAMPLE190373SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	34-12_SAMPLE190373SUB2686	P-MEXP-30021	E_34-12_SAMPLE190373SUB2686	total_RNA	P-MEXP-30023	L_34-12_SAMPLE190373SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_34-12_SAMPLE190373SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_34-12_SAMPLE190373SUB2686	LL34-12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	15 mM nitrate; 30 mM sucrose
34-1_SAMPLE190362SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	34-1_SAMPLE190362SUB2686	P-MEXP-30021	E_34-1_SAMPLE190362SUB2686	total_RNA	P-MEXP-30023	L_34-1_SAMPLE190362SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_34-1_SAMPLE190362SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_34-1_SAMPLE190362SUB2686	LL34-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	0 mM nitrate; 0 mM sucrose
42-1_SAMPLE190374SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	42-1_SAMPLE190374SUB2686	P-MEXP-30021	E_42-1_SAMPLE190374SUB2686	total_RNA	P-MEXP-30023	L_42-1_SAMPLE190374SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_42-1_SAMPLE190374SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_42-1_SAMPLE190374SUB2686	LL42-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	0 mM nitrate; 0 mM sucrose
33-23_SAMPLE190360SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	33-23_SAMPLE190360SUB2686	P-MEXP-30021	E_33-23_SAMPLE190360SUB2686	total_RNA	P-MEXP-30023	L_33-23_SAMPLE190360SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_33-23_SAMPLE190360SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_33-23_SAMPLE190360SUB2686	LL33-23.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	5 mM nitrate; 90 mM sucrose
34-11_SAMPLE190372SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	34-11_SAMPLE190372SUB2686	P-MEXP-30021	E_34-11_SAMPLE190372SUB2686	total_RNA	P-MEXP-30023	L_34-11_SAMPLE190372SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_34-11_SAMPLE190372SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_34-11_SAMPLE190372SUB2686	LL34-11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	5 mM nitrate; 90 mM sucrose
43-12_SAMPLE190383SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	43-12_SAMPLE190383SUB2686	P-MEXP-30021	E_43-12_SAMPLE190383SUB2686	total_RNA	P-MEXP-30023	L_43-12_SAMPLE190383SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_43-12_SAMPLE190383SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_43-12_SAMPLE190383SUB2686	LL43-12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526378.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	45 mM nitrate; 90 mM sucrose
43-8_SAMPLE190381SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	43-8_SAMPLE190381SUB2686	P-MEXP-30021	E_43-8_SAMPLE190381SUB2686	total_RNA	P-MEXP-30023	L_43-8_SAMPLE190381SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_43-8_SAMPLE190381SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_43-8_SAMPLE190381SUB2686	LL43-8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526378.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	3.3 mM nitrate; 60 mM sucrose
34-10_SAMPLE190371SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	34-10_SAMPLE190371SUB2686	P-MEXP-30021	E_34-10_SAMPLE190371SUB2686	total_RNA	P-MEXP-30023	L_34-10_SAMPLE190371SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_34-10_SAMPLE190371SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_34-10_SAMPLE190371SUB2686	LL34-10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	15 mM nitrate; 90 mM sucrose
34-9_SAMPLE190370SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	34-9_SAMPLE190370SUB2686	P-MEXP-30021	E_34-9_SAMPLE190370SUB2686	total_RNA	P-MEXP-30023	L_34-9_SAMPLE190370SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_34-9_SAMPLE190370SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_34-9_SAMPLE190370SUB2686	LL34-9.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	10 mM nitrate; 60 mM sucrose
43-11_SAMPLE190382SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	43-11_SAMPLE190382SUB2686	P-MEXP-30021	E_43-11_SAMPLE190382SUB2686	total_RNA	P-MEXP-30023	L_43-11_SAMPLE190382SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_43-11_SAMPLE190382SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_43-11_SAMPLE190382SUB2686	LL43-11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526378.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	30 mM nitrate; 60 mM sucrose
43-7_SAMPLE190380SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	43-7_SAMPLE190380SUB2686	P-MEXP-30021	E_43-7_SAMPLE190380SUB2686	total_RNA	P-MEXP-30023	L_43-7_SAMPLE190380SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_43-7_SAMPLE190380SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_43-7_SAMPLE190380SUB2686	LL43-7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526378.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	1.7 mM nitrate; 30 mM sucrose
33-14_SAMPLE190351SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	33-14_SAMPLE190351SUB2686	P-MEXP-30021	E_33-14_SAMPLE190351SUB2686	total_RNA	P-MEXP-30023	L_33-14_SAMPLE190351SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_33-14_SAMPLE190351SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_33-14_SAMPLE190351SUB2686	LL33-14.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	5 mM nitrate; 0 mM sucrose
